ecephys_session_id,group,feature,feature_weight,source_units,supported_grid_fraction
750749662,HVA pooled,time_to_peak_rf,0.34,240,0.800714
750749662,HVA pooled,time_to_first_spike_fl,0.1,230,0.799524
751348571,V1,area_rf,0.27,74,0.269482
751348571,V1,dorsal_ventral_ccf_coordinate,1,74,0.269482
751348571,V1,probe_horizontal_position,0.68,74,0.269482
751348571,V1,time_to_peak_rf,0.34,74,0.269482
751348571,V1,time_to_first_spike_fl,0.1,73,0.268293
751348571,HVA pooled,area_rf,0.27,284,0.883998
751348571,HVA pooled,dorsal_ventral_ccf_coordinate,1,284,0.883998
751348571,HVA pooled,probe_horizontal_position,0.68,284,0.883998
751348571,HVA pooled,time_to_peak_rf,0.34,284,0.883998
751348571,HVA pooled,time_to_first_spike_fl,0.1,273,0.877454
754312389,V1,area_rf,0.27,144,0.331945
754312389,V1,dorsal_ventral_ccf_coordinate,1,144,0.331945
754312389,V1,probe_horizontal_position,0.68,144,0.331945
754312389,V1,time_to_peak_rf,0.34,144,0.331945
754312389,V1,time_to_first_spike_fl,0.1,135,0.319453
754312389,HVA pooled,area_rf,0.27,214,0.829863
754312389,HVA pooled,dorsal_ventral_ccf_coordinate,1,214,0.829863
754312389,HVA pooled,probe_horizontal_position,0.68,214,0.829863
754312389,HVA pooled,time_to_peak_rf,0.34,214,0.829863
754312389,HVA pooled,time_to_first_spike_fl,0.1,212,0.828079
754829445,V1,area_rf,0.27,141,0.475312
754829445,V1,dorsal_ventral_ccf_coordinate,1,141,0.475312
754829445,V1,probe_horizontal_position,0.68,141,0.475312
754829445,V1,time_to_peak_rf,0.34,141,0.475312
754829445,V1,time_to_first_spike_fl,0.1,135,0.467579
754829445,HVA pooled,area_rf,0.27,119,0.46163
754829445,HVA pooled,dorsal_ventral_ccf_coordinate,1,119,0.46163
754829445,HVA pooled,probe_horizontal_position,0.68,119,0.46163
754829445,HVA pooled,time_to_peak_rf,0.34,119,0.46163
754829445,HVA pooled,time_to_first_spike_fl,0.1,116,0.454491
755434585,V1,area_rf,0.27,141,0.311124
755434585,V1,dorsal_ventral_ccf_coordinate,1,141,0.311124
755434585,V1,probe_horizontal_position,0.68,141,0.311124
755434585,V1,time_to_peak_rf,0.34,141,0.311124
755434585,V1,time_to_first_spike_fl,0.1,139,0.311124
755434585,HVA pooled,area_rf,0.27,336,0.989292
755434585,HVA pooled,dorsal_ventral_ccf_coordinate,1,282,0.944081
755434585,HVA pooled,probe_horizontal_position,0.68,336,0.989292
755434585,HVA pooled,time_to_peak_rf,0.34,336,0.989292
755434585,HVA pooled,time_to_first_spike_fl,0.1,330,0.989292
756029989,V1,area_rf,0.27,90,0.273647
756029989,V1,dorsal_ventral_ccf_coordinate,1,90,0.273647
756029989,V1,probe_horizontal_position,0.68,90,0.273647
756029989,V1,time_to_peak_rf,0.34,90,0.273647
756029989,V1,time_to_first_spike_fl,0.1,85,0.271862
756029989,HVA pooled,area_rf,0.27,333,0.95003
756029989,HVA pooled,dorsal_ventral_ccf_coordinate,1,333,0.95003
756029989,HVA pooled,probe_horizontal_position,0.68,333,0.95003
756029989,HVA pooled,time_to_peak_rf,0.34,333,0.95003
756029989,HVA pooled,time_to_first_spike_fl,0.1,324,0.941701
757216464,V1,area_rf,0.27,149,0.358715
757216464,V1,dorsal_ventral_ccf_coordinate,1,149,0.358715
757216464,V1,probe_horizontal_position,0.68,149,0.358715
757216464,V1,time_to_peak_rf,0.34,149,0.358715
757216464,V1,time_to_first_spike_fl,0.1,143,0.35693
757216464,HVA pooled,area_rf,0.27,289,0.876264
757216464,HVA pooled,dorsal_ventral_ccf_coordinate,1,289,0.876264
757216464,HVA pooled,probe_horizontal_position,0.68,289,0.876264
757216464,HVA pooled,time_to_peak_rf,0.34,289,0.876264
757216464,HVA pooled,time_to_first_spike_fl,0.1,286,0.876264
757970808,V1,area_rf,0.27,148,0.318263
757970808,V1,dorsal_ventral_ccf_coordinate,1,148,0.318263
757970808,V1,probe_horizontal_position,0.68,148,0.318263
757970808,V1,time_to_peak_rf,0.34,148,0.318263
757970808,V1,time_to_first_spike_fl,0.1,144,0.314099
757970808,HVA pooled,area_rf,0.27,235,0.886377
757970808,HVA pooled,dorsal_ventral_ccf_coordinate,1,235,0.886377
757970808,HVA pooled,probe_horizontal_position,0.68,235,0.886377
757970808,HVA pooled,time_to_peak_rf,0.34,235,0.886377
757970808,HVA pooled,time_to_first_spike_fl,0.1,224,0.861987
758798717,V1,area_rf,0.27,83,0.264723
758798717,V1,dorsal_ventral_ccf_coordinate,1,83,0.264723
758798717,V1,probe_horizontal_position,0.68,83,0.264723
758798717,V1,time_to_peak_rf,0.34,83,0.264723
758798717,V1,time_to_first_spike_fl,0.1,78,0.261749
758798717,HVA pooled,area_rf,0.27,221,0.907198
758798717,HVA pooled,dorsal_ventral_ccf_coordinate,1,221,0.907198
758798717,HVA pooled,probe_horizontal_position,0.68,221,0.907198
758798717,HVA pooled,time_to_peak_rf,0.34,221,0.907198
758798717,HVA pooled,time_to_first_spike_fl,0.1,214,0.906008
759883607,V1,area_rf,0.27,90,0.25461
759883607,V1,dorsal_ventral_ccf_coordinate,1,90,0.25461
759883607,V1,probe_horizontal_position,0.68,90,0.25461
759883607,V1,time_to_peak_rf,0.34,90,0.25461
759883607,V1,time_to_first_spike_fl,0.1,83,0.248662
759883607,HVA pooled,area_rf,0.27,218,0.760857
759883607,HVA pooled,dorsal_ventral_ccf_coordinate,1,218,0.760857
759883607,HVA pooled,probe_horizontal_position,0.68,218,0.760857
759883607,HVA pooled,time_to_peak_rf,0.34,218,0.760857
759883607,HVA pooled,time_to_first_spike_fl,0.1,206,0.746579
760345702,V1,area_rf,0.27,92,0.270672
760345702,V1,dorsal_ventral_ccf_coordinate,1,92,0.270672
760345702,V1,probe_horizontal_position,0.68,92,0.270672
760345702,V1,time_to_peak_rf,0.34,92,0.270672
760345702,V1,time_to_first_spike_fl,0.1,89,0.265318
760345702,HVA pooled,area_rf,0.27,247,0.891136
760345702,HVA pooled,dorsal_ventral_ccf_coordinate,1,247,0.891136
760345702,HVA pooled,probe_horizontal_position,0.68,247,0.891136
760345702,HVA pooled,time_to_peak_rf,0.34,247,0.891136
760345702,HVA pooled,time_to_first_spike_fl,0.1,240,0.890541
760693773,V1,area_rf,0.27,153,0.397977
760693773,V1,dorsal_ventral_ccf_coordinate,1,0,0
760693773,V1,probe_horizontal_position,0.68,153,0.397977
760693773,V1,time_to_peak_rf,0.34,153,0.397977
760693773,V1,time_to_first_spike_fl,0.1,150,0.397383
760693773,HVA pooled,area_rf,0.27,378,0.960143
760693773,HVA pooled,dorsal_ventral_ccf_coordinate,1,0,0
760693773,HVA pooled,probe_horizontal_position,0.68,378,0.960143
760693773,HVA pooled,time_to_peak_rf,0.34,378,0.960143
760693773,HVA pooled,time_to_first_spike_fl,0.1,372,0.960143
761418226,V1,area_rf,0.27,58,0.23141
761418226,V1,dorsal_ventral_ccf_coordinate,1,58,0.23141
761418226,V1,probe_horizontal_position,0.68,58,0.23141
761418226,V1,time_to_peak_rf,0.34,58,0.23141
761418226,V1,time_to_first_spike_fl,0.1,56,0.23022
761418226,HVA pooled,area_rf,0.27,342,0.953004
761418226,HVA pooled,dorsal_ventral_ccf_coordinate,1,342,0.953004
761418226,HVA pooled,probe_horizontal_position,0.68,342,0.953004
761418226,HVA pooled,time_to_peak_rf,0.34,342,0.953004
761418226,HVA pooled,time_to_first_spike_fl,0.1,339,0.953004
762120172,V1,area_rf,0.27,127,0.346817
762120172,V1,dorsal_ventral_ccf_coordinate,1,0,0
762120172,V1,probe_horizontal_position,0.68,127,0.346817
762120172,V1,time_to_peak_rf,0.34,127,0.346817
762120172,V1,time_to_first_spike_fl,0.1,122,0.344438
762120172,HVA pooled,area_rf,0.27,187,0.690065
762120172,HVA pooled,dorsal_ventral_ccf_coordinate,1,0,0
762120172,HVA pooled,probe_horizontal_position,0.68,187,0.690065
762120172,HVA pooled,time_to_peak_rf,0.34,187,0.690065
762120172,HVA pooled,time_to_first_spike_fl,0.1,181,0.679358
762602078,V1,area_rf,0.27,106,0.333135
762602078,V1,dorsal_ventral_ccf_coordinate,1,106,0.333135
762602078,V1,probe_horizontal_position,0.68,106,0.333135
762602078,V1,time_to_peak_rf,0.34,106,0.333135
762602078,V1,time_to_first_spike_fl,0.1,93,0.327186
762602078,HVA pooled,area_rf,0.27,156,0.302796
762602078,HVA pooled,dorsal_ventral_ccf_coordinate,1,156,0.302796
762602078,HVA pooled,probe_horizontal_position,0.68,156,0.302796
762602078,HVA pooled,time_to_peak_rf,0.34,156,0.302796
762602078,HVA pooled,time_to_first_spike_fl,0.1,147,0.302201
763673393,V1,area_rf,0.27,104,0.301606
763673393,V1,dorsal_ventral_ccf_coordinate,1,104,0.301606
763673393,V1,probe_horizontal_position,0.68,104,0.301606
763673393,V1,time_to_peak_rf,0.34,104,0.301606
763673393,V1,time_to_first_spike_fl,0.1,103,0.301606
763673393,HVA pooled,area_rf,0.27,189,0.724569
763673393,HVA pooled,dorsal_ventral_ccf_coordinate,1,189,0.724569
763673393,HVA pooled,probe_horizontal_position,0.68,189,0.724569
763673393,HVA pooled,time_to_peak_rf,0.34,189,0.724569
763673393,HVA pooled,time_to_first_spike_fl,0.1,187,0.709697
773418906,V1,area_rf,0.27,99,0.251636
773418906,V1,dorsal_ventral_ccf_coordinate,1,99,0.251636
773418906,V1,probe_horizontal_position,0.68,99,0.251636
773418906,V1,time_to_peak_rf,0.34,99,0.251636
773418906,V1,time_to_first_spike_fl,0.1,95,0.246282
773418906,HVA pooled,area_rf,0.27,260,0.938132
773418906,HVA pooled,dorsal_ventral_ccf_coordinate,1,260,0.938132
773418906,HVA pooled,probe_horizontal_position,0.68,260,0.938132
773418906,HVA pooled,time_to_peak_rf,0.34,260,0.938132
773418906,HVA pooled,time_to_first_spike_fl,0.1,252,0.916716
791319847,V1,area_rf,0.27,127,0.345033
791319847,V1,dorsal_ventral_ccf_coordinate,1,127,0.345033
791319847,V1,probe_horizontal_position,0.68,127,0.345033
791319847,V1,time_to_peak_rf,0.34,127,0.345033
791319847,V1,time_to_first_spike_fl,0.1,120,0.340274
791319847,HVA pooled,area_rf,0.27,256,0.928019
791319847,HVA pooled,dorsal_ventral_ccf_coordinate,1,256,0.928019
791319847,HVA pooled,probe_horizontal_position,0.68,256,0.928019
791319847,HVA pooled,time_to_peak_rf,0.34,256,0.928019
791319847,HVA pooled,time_to_first_spike_fl,0.1,253,0.926234
797828357,V1,area_rf,0.27,117,0.359905
797828357,V1,dorsal_ventral_ccf_coordinate,1,117,0.359905
797828357,V1,probe_horizontal_position,0.68,117,0.359905
797828357,V1,time_to_peak_rf,0.34,117,0.359905
797828357,V1,time_to_first_spike_fl,0.1,117,0.359905
797828357,HVA pooled,area_rf,0.27,279,0.971446
797828357,HVA pooled,dorsal_ventral_ccf_coordinate,1,279,0.971446
797828357,HVA pooled,probe_horizontal_position,0.68,279,0.971446
797828357,HVA pooled,time_to_peak_rf,0.34,279,0.971446
797828357,HVA pooled,time_to_first_spike_fl,0.1,271,0.971446
798911424,V1,area_rf,0.27,127,0.344438
798911424,V1,dorsal_ventral_ccf_coordinate,1,127,0.344438
798911424,V1,probe_horizontal_position,0.68,127,0.344438
798911424,V1,time_to_peak_rf,0.34,127,0.344438
798911424,V1,time_to_first_spike_fl,0.1,123,0.340869
798911424,HVA pooled,area_rf,0.27,384,0.995836
798911424,HVA pooled,dorsal_ventral_ccf_coordinate,1,384,0.995836
798911424,HVA pooled,probe_horizontal_position,0.68,384,0.995836
798911424,HVA pooled,time_to_peak_rf,0.34,384,0.995836
798911424,HVA pooled,time_to_first_spike_fl,0.1,368,0.995836
799864342,V1,area_rf,0.27,127,0.345628
799864342,V1,dorsal_ventral_ccf_coordinate,1,127,0.345628
799864342,V1,probe_horizontal_position,0.68,127,0.345628
799864342,V1,time_to_peak_rf,0.34,127,0.345628
799864342,V1,time_to_first_spike_fl,0.1,125,0.343248
799864342,HVA pooled,area_rf,0.27,236,0.841166
799864342,HVA pooled,dorsal_ventral_ccf_coordinate,1,236,0.841166
799864342,HVA pooled,probe_horizontal_position,0.68,236,0.841166
799864342,HVA pooled,time_to_peak_rf,0.34,236,0.841166
799864342,HVA pooled,time_to_first_spike_fl,0.1,233,0.841166
