unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
4000417,2327.57,,V1_site4_A
4000418,2332.19,,V1_site4_A
4000419,2346.38,,V1_site4_A
4000420,2349.65,,V1_site4_A
4000421,2353.2,,V1_site4_A
4000422,2340.45,,V1_site4_A
4000423,2323.56,,V1_site4_A
4000424,2355.42,,V1_site4_A
4000425,2354.44,,V1_site4_A
4000426,2320.0,,V1_site4_A
4000427,2335.18,,V1_site4_A
4000428,2380.1,,V1_site4_A
4000429,2391.41,,V1_site4_A
4000430,2376.58,,V1_site4_A
4000431,2361.59,,V1_site4_A
4000432,2367.7,,V1_site4_A
4000433,2389.61,,V1_site4_A
4000434,2375.2,,V1_site4_A
4000435,2384.73,,V1_site4_A
4000436,2389.84,,V1_site4_A
4000437,2421.13,,V1_site4_A
4000438,2419.14,,V1_site4_A
4000439,2418.0,,V1_site4_A
4000440,2403.27,,V1_site4_A
4000441,2420.32,,V1_site4_A
4000442,2421.81,,V1_site4_A
4000443,2415.49,,V1_site4_A
4000444,2410.85,,V1_site4_A
4000445,2409.57,,V1_site4_A
4000446,2423.84,,V1_site4_A
4000447,2408.54,,V1_site4_A
4000448,2485.47,,V1_site4_A
4000449,2454.28,,V1_site4_A
4000450,2456.01,,V1_site4_A
4000451,2475.11,,V1_site4_A
4000452,2446.67,,V1_site4_A
4000453,2425.9,,V1_site4_A
4000454,2459.01,,V1_site4_A
4000455,2448.78,,V1_site4_A
4000456,2450.86,,V1_site4_A
4000457,2461.28,,V1_site4_A
4000458,2498.78,,V1_site4_A
4000459,2483.73,,V1_site4_A
4000460,2519.34,,V1_site4_A
4000461,2508.11,,V1_site4_A
4000462,2490.08,,V1_site4_A
4000463,2467.44,,V1_site4_A
4000464,2504.65,,V1_site4_A
4000465,2517.8,,V1_site4_A
4000466,2482.65,,V1_site4_A
4000467,2497.82,,V1_site4_A
4000468,2547.83,,V1_site4_A
4000469,2542.01,,V1_site4_A
4000470,2527.45,,V1_site4_A
4000471,2520.94,,V1_site4_A
4000472,2551.22,,V1_site4_A
4000473,2525.71,,V1_site4_A
4000474,2545.96,,V1_site4_A
4000475,2537.96,,V1_site4_A
4000476,2518.6,,V1_site4_A
4000477,2541.59,,V1_site4_A
4000478,2552.34,,V1_site4_A
4000479,2537.0,,V1_site4_A
4000480,2516.59,,V1_site4_A
4000481,2544.15,,V1_site4_A
4000482,2531.75,,V1_site4_A
4000483,2516.75,,V1_site4_A
4000484,2573.74,,V1_site4_A
4000485,2585.42,,V1_site4_A
4000486,2539.33,,V1_site4_A
4000487,2588.73,,V1_site4_A
4000488,2583.48,,V1_site4_A
4000489,2553.26,,V1_site4_A
4000490,2565.71,,V1_site4_A
4000491,2592.14,,V1_site4_A
4000492,2585.66,,V1_site4_A
4000493,2588.02,,V1_site4_A
4000494,2570.57,,V1_site4_A
4000495,2590.63,,V1_site4_A
4000496,2571.6,,V1_site4_A
4000497,2554.23,,V1_site4_A
4000498,2570.73,,V1_site4_A
4000499,2572.56,,V1_site4_A
4000500,2611.06,,V1_site4_A
4000501,2625.27,,V1_site4_A
4000502,2599.93,,V1_site4_A
4000503,2611.28,,V1_site4_A
4000504,2606.23,,V1_site4_A
4000505,2593.57,,V1_site4_A
4000506,2622.86,,V1_site4_A
4000507,2610.79,,V1_site4_A
4000508,2650.95,,V1_site4_A
4000509,2652.6,,V1_site4_A
4000510,2653.49,,V1_site4_A
4000511,2669.47,,V1_site4_A
4000512,2652.95,,V1_site4_A
4000513,2702.85,,V1_site4_A
4000514,2700.95,,V1_site4_A
4000515,2694.11,,V1_site4_A
4000516,2716.86,,V1_site4_A
4000517,2715.77,,V1_site4_A
4000518,2693.48,,V1_site4_A
4000519,2697.82,,V1_site4_A
4000520,2697.2,,V1_site4_A
4000521,2740.82,,V1_site4_A
4000522,2747.58,,V1_site4_A
4000523,2722.43,,V1_site4_A
4000524,2748.73,,V1_site4_A
4000525,2729.56,,V1_site4_A
4000526,2726.03,,V1_site4_A
4000527,2729.35,,V1_site4_A
4000528,2722.03,,V1_site4_A
4000529,2737.36,,V1_site4_A
4000530,2735.2,,V1_site4_A
4000531,2733.98,,V1_site4_A
4000532,2749.41,,V1_site4_A
4000533,2766.35,,V1_site4_A
4000534,2764.17,,V1_site4_A
4000535,2783.18,,V1_site4_A
4000536,2782.58,,V1_site4_A
4000537,2762.45,,V1_site4_A
4000538,2766.18,,V1_site4_A
4000539,2754.51,,V1_site4_A
4000540,2777.0,,V1_site4_A
4000541,2792.7,,V1_site4_A
4000542,2763.41,,V1_site4_A
4000543,2765.53,,V1_site4_A
4000544,2828.49,,V1_site4_A
4000545,2813.45,,V1_site4_A
4000546,2771.3,,V1_site4_A
4000547,2839.24,,V1_site4_A
4000548,2827.68,,V1_site4_A
4000549,2815.39,,V1_site4_A
4000550,2788.09,,V1_site4_A
4000551,2807.64,,V1_site4_A
4000552,2829.88,,V1_site4_A
4000553,2788.18,,V1_site4_A
4000554,2815.41,,V1_site4_A
4000555,2801.55,,V1_site4_A
4000556,2775.13,,V1_site4_A
4000557,2833.3,,V1_site4_A
4000558,2811.27,,V1_site4_A
4000559,2833.22,,V1_site4_A
4000560,2794.58,,V1_site4_A
4000561,2800.97,,V1_site4_A
4000562,2814.42,,V1_site4_A
4000563,2874.91,,V1_site4_A
4000564,2850.32,,V1_site4_A
4000565,2842.05,,V1_site4_A
4000566,2875.9,,V1_site4_A
4000567,2409.58,,V1_site4_A
4000568,2845.86,,V1_site4_A
4000569,2838.27,,V1_site4_A
4000570,2860.38,,V1_site4_A
4000571,2902.68,,V1_site4_A
4000572,2411.56,,V1_site4_A
4000573,2887.21,,V1_site4_A
4000574,2884.4,,V1_site4_A
4000575,2882.96,,V1_site4_A
4000576,2865.79,,V1_site4_A
4000577,2892.99,,V1_site4_A
4000578,2911.27,,V1_site4_A
4000579,2399.96,,V1_site4_A
4000580,2958.53,,V1_site4_A
4000581,3001.66,,V1_site4_A
4000582,3000.61,,V1_site4_A
4000583,3000.84,,V1_site4_A
4000584,3039.93,,V1_site4_A
4000585,3040.33,,V1_site4_A
4000586,4065.98,,V1_site4_A
4000587,2409.61,,V1_site4_A
4000588,2296.68,,V1_site4_A
4000589,2396.44,,V1_site4_A
4000590,2481.55,,V1_site4_A
4000591,2410.49,,V1_site4_A
4000592,2404.33,,V1_site4_A
4000593,2404.57,,V1_site4_A
4000594,2420.91,,V1_site4_A
4000595,2415.97,,V1_site4_A
4000596,2418.46,,V1_site4_A
4000597,2458.3,,V1_site4_A
4000598,3384.73,,V1_site4_A
4000599,2396.51,,V1_site4_A
4000600,2415.23,,V1_site4_A
4000601,2404.95,,V1_site4_A
4000602,2385.4,,V1_site4_A
4000603,2417.4,,V1_site4_A
4000604,3532.27,,V1_site4_A
4000605,3542.9,,V1_site4_A
4000606,2424.65,,V1_site4_A
4000607,2440.18,,V1_site4_A
4000608,2433.62,,V1_site4_A
4000609,3623.44,,V1_site4_A
4000610,2400.82,,V1_site4_A
4000611,3678.61,,V1_site4_A
4000612,3700.13,,V1_site4_A
4000613,3701.65,,V1_site4_A
4000614,2506.53,,V1_site4_A
4000615,3758.27,,V1_site4_A
4000616,2543.06,,V1_site4_A
4000617,34.3,,V1_site4_B
4000618,21.49,,V1_site4_B
4000619,18.81,,V1_site4_B
4000620,29.99,,V1_site4_B
4000621,21.98,,V1_site4_B
4000622,20.43,,V1_site4_B
4000623,-9.84,,V1_site4_B
4000624,-0.21,,V1_site4_B
4000625,24.64,,V1_site4_B
4000626,15.58,,V1_site4_B
4000627,40.78,,V1_site4_B
4000628,37.02,,V1_site4_B
4000629,48.46,,V1_site4_B
4000630,56.92,,V1_site4_B
4000631,64.48,,V1_site4_B
4000632,72.77,,V1_site4_B
4000633,56.74,,V1_site4_B
4000634,56.48,,V1_site4_B
4000635,52.5,,V1_site4_B
4000636,78.07,,V1_site4_B
4000637,85.3,,V1_site4_B
4000638,64.4,,V1_site4_B
4000639,122.84,,V1_site4_B
4000640,89.44,,V1_site4_B
4000641,74.0,,V1_site4_B
4000642,78.33,,V1_site4_B
4000643,105.71,,V1_site4_B
4000644,111.19,,V1_site4_B
4000645,94.72,,V1_site4_B
4000646,88.63,,V1_site4_B
4000647,143.59,,V1_site4_B
4000648,139.58,,V1_site4_B
4000649,120.02,,V1_site4_B
4000650,141.98,,V1_site4_B
