stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,size,orientation,spatial_frequency,y_position,stimulus_name,frame,temporal_frequency,color,contrast,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
965,0.0,331.08151,331.33173,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,20.0,0.25021607,119,,,0,,False,2,test,1
966,0.0,331.33173,331.58195,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,40.0,0.25021607,130,,,0,,False,2,test,0
967,0.0,331.58195,331.83216,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,-10.0,0.25021607,177,,,0,,False,1,train,0
968,0.0,331.83216,332.08238,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,20.0,gabors,null,4.0,null,0.8,-20.0,0.25021607,90,,,0,,False,4,train,0
969,0.0,332.08238,332.33258,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,40.0,gabors,null,4.0,null,0.8,-10.0,0.25020393,158,,,0,,False,2,test,2
970,0.0,332.33258,332.58279,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,10.0,gabors,null,4.0,null,0.8,10.0,0.25020393,72,,,0,,False,5,test,2
971,0.0,332.58279,332.83299,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,0.0,gabors,null,4.0,null,0.8,10.0,0.25020393,100,,,0,,False,7,train,1
972,0.0,332.83299,333.08319,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-10.0,gabors,null,4.0,null,0.8,30.0,0.25020393,121,,,0,,False,4,train,1
973,0.0,333.08319,333.3334,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,40.0,gabors,null,4.0,null,0.8,-10.0,0.25020607,158,,,0,,False,3,train,2
974,0.0,333.3334,333.58361,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,40.0,gabors,null,4.0,null,0.8,-40.0,0.25020607,207,,,0,,False,1,train,2
975,0.0,333.58361,333.83381,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-10.0,gabors,null,4.0,null,0.8,40.0,0.25020607,127,,,0,,False,2,test,1
976,0.0,333.83381,334.08402,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,20.0,gabors,null,4.0,null,0.8,10.0,0.25020607,230,,,0,,False,2,test,1
977,0.0,334.08402,334.33423,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,20.0,gabors,null,4.0,null,0.8,-10.0,0.25021143,142,,,0,,False,4,train,0
978,0.0,334.33423,334.58444,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,0.0,0.25021143,143,,,0,,False,2,test,0
979,0.0,334.58444,334.83465,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,30.0,gabors,null,4.0,null,0.8,0.0,0.25021143,224,,,0,,False,3,train,0
980,0.0,334.83465,335.08486,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,30.0,0.25021143,25,,,0,,False,3,train,0
981,0.0,335.08486,335.33508,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,30.0,gabors,null,4.0,null,0.8,-20.0,0.25021357,118,,,0,,False,5,test,0
982,0.0,335.33508,335.58529,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,30.0,gabors,null,4.0,null,0.8,10.0,0.25021357,112,,,0,,False,6,train,2
983,0.0,335.58529,335.8355,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-30.0,gabors,null,4.0,null,0.8,40.0,0.25021357,29,,,0,,False,6,train,2
984,0.0,335.8355,336.08572,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-40.0,gabors,null,4.0,null,0.8,-30.0,0.25021357,163,,,0,,False,2,test,0
985,0.0,336.08572,336.33592,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-10.0,gabors,null,4.0,null,0.8,30.0,0.25020643,237,,,0,,False,1,train,0
986,0.0,336.33592,336.58613,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,30.0,gabors,null,4.0,null,0.8,0.0,0.25020643,224,,,0,,False,4,train,0
987,0.0,336.58613,336.83634,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-30.0,gabors,null,4.0,null,0.8,-10.0,0.25020643,129,,,0,,False,4,train,1
988,0.0,336.83634,337.08654,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,-10.0,0.25020643,212,,,0,,False,3,train,1
989,0.0,337.08654,337.33675,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,20.0,gabors,null,4.0,null,0.8,-30.0,0.25020857,2,,,0,,False,4,train,2
990,0.0,337.33675,337.58696,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,10.0,gabors,null,4.0,null,0.8,30.0,0.25020857,98,,,0,,False,3,train,1
991,0.0,337.58696,337.83717,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-30.0,gabors,null,4.0,null,0.8,40.0,0.25020857,21,,,0,,False,1,train,1
992,0.0,337.83717,338.08738,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-30.0,gabors,null,4.0,null,0.8,40.0,0.25020857,29,,,0,,False,7,train,2
993,0.0,338.08738,338.33759,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,0.0,gabors,null,4.0,null,0.8,30.0,0.25020893,241,,,0,,False,0,train,1
994,0.0,338.33759,338.5878,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,40.0,gabors,null,4.0,null,0.8,-40.0,0.25020893,200,,,0,,False,2,test,0
995,0.0,338.5878,338.838,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,40.0,gabors,null,4.0,null,0.8,-10.0,0.25020893,189,,,0,,False,4,train,0
996,0.0,338.838,339.08821,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-20.0,gabors,null,4.0,null,0.8,-40.0,0.25020893,23,,,0,,False,5,test,2
997,0.0,339.08821,339.33842,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,10.0,gabors,null,4.0,null,0.8,-40.0,0.25020357,31,,,0,,False,2,test,2
998,0.0,339.33842,339.58862,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,20.0,gabors,null,4.0,null,0.8,-30.0,0.25020357,185,,,0,,False,3,train,1
999,0.0,339.58862,339.83882,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,-20.0,0.25020357,150,,,0,,False,3,train,0
1000,0.0,339.83882,340.08903,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-10.0,gabors,null,4.0,null,0.8,30.0,0.25020357,193,,,0,,False,2,test,2
1001,0.0,340.08903,340.33924,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-40.0,gabors,null,4.0,null,0.8,0.0,0.25021143,33,,,0,,False,2,test,0
1002,0.0,340.33924,340.58945,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-40.0,gabors,null,4.0,null,0.8,-40.0,0.25021143,242,,,0,,False,0,train,2
1003,0.0,340.58945,340.83966,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-30.0,gabors,null,4.0,null,0.8,0.0,0.25021143,165,,,0,,False,2,test,2
1004,0.0,340.83966,341.08987,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,10.0,gabors,null,4.0,null,0.8,-20.0,0.25021143,45,,,0,,False,5,test,2
1005,0.0,341.08987,341.34009,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-20.0,gabors,null,4.0,null,0.8,10.0,0.25021357,225,,,0,,False,3,train,1
1006,0.0,341.34009,341.5903,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,-10.0,0.25021357,212,,,0,,False,4,train,1
