outer_session_id,name,method,alpha,length_px,inner_median_error_deg,inner_mean_error_deg
794812542,kernel_l25_a1,kernel,1.0,25.0,13.767151025520166,15.153770587583836
794812542,kernel_l50_a1,kernel,1.0,50.0,13.341450027440274,14.876377800369921
794812542,kernel_l100_a1,kernel,1.0,100.0,13.112946199919996,14.795238965111261
798911424,none,none,0.0,,14.782610926889646,18.0797332780954
798911424,area_a0.25,area,0.25,,12.1495802062701,16.248380335074867
798911424,kernel_l25_a0.25,kernel,0.25,25.0,12.83746544466172,16.27091153757887
798911424,kernel_l50_a0.25,kernel,0.25,50.0,12.182071775758729,16.247277455318052
798911424,kernel_l100_a0.25,kernel,0.25,100.0,12.11496546841784,16.24041317730075
798911424,area_a0.5,area,0.5,,12.714203803309449,14.945239617802075
798911424,kernel_l25_a0.5,kernel,0.5,25.0,13.087826024889445,15.046400794583725
798911424,kernel_l50_a0.5,kernel,0.5,50.0,12.85554278229026,14.93097054059971
798911424,kernel_l100_a0.5,kernel,0.5,100.0,12.829947361973277,14.924844892283193
798911424,area_a1,area,1.0,,11.936471589658872,13.931441302160334
798911424,kernel_l25_a1,kernel,1.0,25.0,12.05352124475032,14.324870633495463
798911424,kernel_l50_a1,kernel,1.0,50.0,12.374232047543053,13.997652420503108
798911424,kernel_l100_a1,kernel,1.0,100.0,12.229775941264943,13.913687079497599
829720705,none,none,0.0,,15.062957993424702,18.620830456982663
829720705,area_a0.25,area,0.25,,12.430407762822863,16.517280020607625
829720705,kernel_l25_a0.25,kernel,0.25,25.0,13.51828319856111,16.531753590217207
829720705,kernel_l50_a0.25,kernel,0.25,50.0,12.752351396754406,16.5002369797611
829720705,kernel_l100_a0.25,kernel,0.25,100.0,12.510193132504874,16.512159041099387
829720705,area_a0.5,area,0.5,,12.351609551570899,14.972070487258895
829720705,kernel_l25_a0.5,kernel,0.5,25.0,12.407372707657457,15.100003118100094
829720705,kernel_l50_a0.5,kernel,0.5,50.0,12.490441095452322,14.94217035988803
829720705,kernel_l100_a0.5,kernel,0.5,100.0,12.76067871048145,14.958010746062973
829720705,area_a1,area,1.0,,11.507930296450116,13.636743290588885
829720705,kernel_l25_a1,kernel,1.0,25.0,12.855264419987845,13.93048895109023
829720705,kernel_l50_a1,kernel,1.0,50.0,12.575151289998253,13.571364856776466
829720705,kernel_l100_a1,kernel,1.0,100.0,11.971686110055272,13.604894869994355
831882777,none,none,0.0,,14.927733336684065,18.868635846260393
831882777,area_a0.25,area,0.25,,12.295581765098877,16.911552301786436
831882777,kernel_l25_a0.25,kernel,0.25,25.0,13.377448319318184,16.865373305042226
831882777,kernel_l50_a0.25,kernel,0.25,50.0,12.386485212049074,16.888613831497185
831882777,kernel_l100_a0.25,kernel,0.25,100.0,12.215995062415372,16.901653299863934
831882777,area_a0.5,area,0.5,,12.786565577325085,15.582419728788786
831882777,kernel_l25_a0.5,kernel,0.5,25.0,13.75794998467911,15.566736521273581
831882777,kernel_l50_a0.5,kernel,0.5,50.0,13.501844813358753,15.537685344548446
831882777,kernel_l100_a0.5,kernel,0.5,100.0,13.079713938706275,15.560812060467049
831882777,area_a1,area,1.0,,13.072996905450522,14.744894021218796
831882777,kernel_l25_a1,kernel,1.0,25.0,13.264866635996258,14.790302926802612
831882777,kernel_l50_a1,kernel,1.0,50.0,13.285173332613933,14.68696114219419
831882777,kernel_l100_a1,kernel,1.0,100.0,13.318964204761679,14.709435958041208
847657808,none,none,0.0,,14.927733336684065,18.37423195688144
847657808,area_a0.25,area,0.25,,12.185359653899019,16.555096404619608
847657808,kernel_l25_a0.25,kernel,0.25,25.0,12.17056528134797,16.60189100161254
847657808,kernel_l50_a0.25,kernel,0.25,50.0,11.985892399453096,16.5633089190244
847657808,kernel_l100_a0.25,kernel,0.25,100.0,12.083981458288228,16.55143670235865
847657808,area_a0.5,area,0.5,,12.285540973761236,15.285434865360784
847657808,kernel_l25_a0.5,kernel,0.5,25.0,11.798903700114867,15.468643266352677
847657808,kernel_l50_a0.5,kernel,0.5,50.0,12.192552202352598,15.304011197746197
847657808,kernel_l100_a0.5,kernel,0.5,100.0,12.18167214191219,15.27413260272065
847657808,area_a1,area,1.0,,13.197976593315742,14.351807905934267
847657808,kernel_l25_a1,kernel,1.0,25.0,13.55442053556105,14.823630484561674
847657808,kernel_l50_a1,kernel,1.0,50.0,13.222511951386242,14.38952650735643
847657808,kernel_l100_a1,kernel,1.0,100.0,13.583695510072591,14.329865749163433
