stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,size,x_position,spatial_frequency,color,temporal_frequency,contrast,stimulus_name,orientation,phase,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1850,0.0,547.49566,547.74585,30.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,90,,,0,,False,5,test,0
1851,0.0,547.74585,547.99605,-20.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501951,148,,,0,,False,5,test,1
1852,0.0,547.99605,548.24624,10.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2501951,160,,,0,,False,7,train,2
1853,0.0,548.24624,548.49645,30.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502099,193,,,0,,False,5,test,1
1854,0.0,548.49645,548.74666,-10.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502099,58,,,0,,False,7,train,1
1855,0.0,548.74666,548.99687,40.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502099,121,,,0,,False,6,train,0
1856,0.0,548.99687,549.24708,40.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502099,34,,,0,,False,9,train,1
1857,0.0,549.24708,549.49729,40.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502051,95,,,0,,False,7,train,2
1858,0.0,549.49729,549.74749,30.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502051,193,,,0,,False,6,train,1
1859,0.0,549.74749,549.9977,10.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502051,167,,,0,,False,6,train,2
1860,0.0,549.9977,550.2479,10.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502051,35,,,0,,False,7,train,2
1861,0.0,550.2479,550.49813,20.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502224,94,,,0,,False,8,test,0
1862,0.0,550.49813,550.74835,-30.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502224,189,,,0,,False,8,test,2
