stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,color,size,stimulus_name,y_position,contrast,phase,frame,orientation,temporal_frequency,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1666,0.0,501.21528,501.46549,0.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020267,115,,,0,,False,6,train,2
1667,0.0,501.46549,501.71569,-20.0,null,"[20.0, 20.0]",gabors,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020267,61,,,0,,False,7,train,0
1668,0.0,501.71569,501.96589,0.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020267,11,,,0,,False,9,train,0
1669,0.0,501.96589,502.21611,-20.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,209,,,0,,False,5,test,0
1670,0.0,502.21611,502.46633,-40.0,null,"[20.0, 20.0]",gabors,40.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021733,22,,,0,,False,6,train,1
1671,0.0,502.46633,502.71654,-20.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021733,129,,,0,,False,9,train,1
1672,0.0,502.71654,502.96676,40.0,null,"[20.0, 20.0]",gabors,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,210,,,0,,False,4,train,0
1673,0.0,502.96676,503.21696,0.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020267,63,,,0,,False,10,train,1
1674,0.0,503.21696,503.46717,0.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020267,11,,,0,,False,10,train,0
1675,0.0,503.46717,503.71737,30.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020267,17,,,0,,False,6,train,0
1676,0.0,503.71737,503.96757,20.0,null,"[20.0, 20.0]",gabors,40.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020267,56,,,0,,False,9,train,1
1677,0.0,503.96757,504.21779,0.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021483,55,,,0,,False,7,train,1
1678,0.0,504.21779,504.468,40.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021483,37,,,0,,False,6,train,0
