ecephys_session_id,held_probe,n_train_cells,n_held_cells,baseline_held_error_deg,candidate_held_error_deg,chosen_dscale_ap,chosen_dscale_ml,improvement_deg
778240327,792607553,367,88,26.178567387181317,22.00258733907122,1.15,1.15,4.175980048110098
778240327,792607557,356,99,33.24193811194966,28.22583050189843,1.15,1.075,5.016107610051229
778240327,792607559,434,21,17.9913574959853,12.066856963495926,1.15,1.15,5.924500532489375
778998620,792626841,289,56,30.733839229223783,29.00307548080088,0.85,1.15,1.730763748422902
778998620,792626844,285,60,39.78251849074162,34.99480712709568,1.15,0.9624999999999999,4.78771136364594
778998620,792626847,222,123,23.263906862247914,25.012498132145403,1.15,1.15,-1.7485912698974886
778998620,792626851,300,45,42.292338445038446,41.45710574546506,1.15,1.0,0.835232699573389
778998620,792626853,323,22,44.0661725294321,44.95760153316348,1.15,1.0374999999999999,-0.8914290037313819
778998620,792626855,306,39,47.37865075883479,33.662773222025,1.15,1.075,13.715877536809785
779839471,792645490,215,48,42.33266913177199,48.11441870392319,0.8875,0.85,-5.781749572151199
779839471,792645493,221,42,46.384923691503566,52.78358309854465,0.85,0.85,-6.398659407041087
779839471,792645497,117,146,29.77813031920181,29.60889247755577,0.8875,1.0374999999999999,0.16923784164604072
779839471,792645504,236,27,20.6103615369397,25.749846770620554,1.075,1.075,-5.139485233680855
781842082,792586876,313,68,40.07159290663461,34.69490390117747,1.15,1.15,5.376689005457145
781842082,792586881,276,105,49.120240085741166,39.49403581527604,1.15,1.15,9.626204270465124
781842082,792586883,307,74,31.967939333041414,20.40068673195774,1.15,1.15,11.567252601083673
781842082,792586887,296,85,57.036686568884775,54.731714767257444,1.15,1.075,2.3049718016273317
781842082,792586891,332,49,20.76241206815522,11.648123788878625,1.15,1.15,9.114288279276597
786091066,792623916,473,103,40.110425525724985,39.90103755102575,0.85,1.15,0.20938797469923287
786091066,792623919,501,75,63.267823316932294,50.23054598799641,1.15,1.15,13.037277328935886
786091066,792623921,441,135,20.0747109345088,15.64642624773472,0.85,1.15,4.428284686774081
786091066,792623925,490,86,46.40145018324657,36.506806571289644,1.15,1.15,9.894643611956923
786091066,792623928,464,112,61.43060098140598,47.42758875399011,1.15,1.15,14.003012227415873
786091066,792623931,511,65,20.047570040041023,15.629531709324668,1.15,1.15,4.418038330716355
787025148,792586836,152,63,43.356854051451265,41.05269423942703,1.0,1.15,2.3041598120242313
787025148,792586842,110,105,31.405841886354736,29.77545213538558,1.15,1.0374999999999999,1.6303897509691545
787025148,792586848,179,36,42.46521536158325,38.27734896732106,1.0374999999999999,1.15,4.187866394262187
787025148,792586852,204,11,12.341555023796452,20.32931525478082,1.15,1.15,-7.987760230984367
789848216,805002031,156,24,16.391398377534593,37.92552815638882,1.1124999999999998,1.15,-21.53412977885423
789848216,805002033,120,60,20.09641041889024,38.39697971837263,1.15,1.15,-18.300569299482387
789848216,805002035,159,21,20.21687660309438,21.039480060706083,1.0,0.8875,-0.8226034576117023
791319847,805008600,293,56,27.072862928608544,25.538075920284285,1.0374999999999999,1.1124999999999998,1.5347870083242583
791319847,805008602,324,25,31.363169521968484,31.487831235822608,0.9624999999999999,1.15,-0.12466171385412395
791319847,805008604,223,126,13.169447927838402,12.71589304151301,1.0374999999999999,1.075,0.4535548863253922
791319847,805008606,295,54,34.24376273194177,36.02702520892986,1.0,1.15,-1.7832624769880852
791319847,805008608,322,27,45.44451449617251,45.85077842978217,1.0,1.15,-0.40626393360965807
791319847,805008610,288,61,12.967044170398246,23.0016428974629,0.85,1.15,-10.034598727064655
793224716,805124806,127,126,14.486969982055673,15.0786912199478,1.15,1.075,-0.591721237892127
793224716,805124809,211,42,22.32492264642683,21.405916067728263,0.9249999999999999,1.15,0.9190065786985677
793224716,805124812,210,43,41.88201593479609,39.71012029611382,0.8875,1.075,2.1718956386822654
793224716,805124815,211,42,27.5675661731335,23.29197551927834,0.9249999999999999,1.15,4.275590653855161
794812542,810758777,309,74,40.93496149749859,36.21170823912726,1.15,1.15,4.723253258371329
794812542,810758779,339,44,75.9829935087759,74.40483240637352,1.0374999999999999,1.15,1.5781611024023903
794812542,810758781,272,111,25.231379483795568,23.276206979024927,0.85,1.15,1.9551725047706405
794812542,810758783,301,82,40.640829634648895,37.27872600816518,1.15,1.15,3.362103626483716
794812542,810758785,342,41,44.59570979604582,47.56260916467315,1.075,1.15,-2.966899368627331
794812542,810758787,352,31,24.401734068592372,22.421202835642433,1.15,1.1124999999999998,1.9805312329499394
797828357,805579734,283,57,42.14569737465783,43.122177866207466,0.9624999999999999,1.0374999999999999,-0.976480491549637
797828357,805579738,318,22,37.017048556381,38.24749877719308,1.15,1.15,-1.2304502208120809
797828357,805579741,224,116,28.06996007676657,31.527926354414653,1.0,1.15,-3.457966277648083
797828357,805579745,259,81,51.46035215516862,54.79181315287195,1.15,0.9624999999999999,-3.3314609977033314
797828357,805579749,294,46,45.939651206000015,48.73614375967874,1.15,0.9624999999999999,-2.796492553678725
797828357,805579753,322,18,34.713374405145956,31.37626763120671,1.1124999999999998,1.0,3.3371067739392473
798911424,800036196,404,74,33.93726807992496,31.508583976282907,1.075,1.15,2.4286841036420554
798911424,800036198,423,55,56.90553339565339,47.68301683837847,1.15,1.1124999999999998,9.222516557274922
798911424,800036200,352,126,21.57021286923491,20.49151889258709,1.0374999999999999,1.15,1.0786939766478199
798911424,800036202,395,83,23.577905513291412,20.880006947365207,1.15,1.075,2.697898565926206
798911424,800036204,378,100,33.31283385511476,30.505059163791188,1.075,1.15,2.807774691323573
798911424,800036206,438,40,16.736181078859868,16.175697680475032,1.15,1.1124999999999998,0.5604833983848359
799864342,805579698,280,47,30.475122511071444,34.181405999957796,1.15,1.15,-3.7062834888863527
799864342,805579703,200,127,55.7458528678967,48.2710195289732,1.0374999999999999,1.15,7.474833338923503
799864342,805579706,279,48,41.836447659831975,54.451792958358176,1.15,0.85,-12.6153452985262
799864342,805579710,253,74,75.48712378993639,88.12893820693412,1.15,0.85,-12.641814416997732
799864342,805579713,296,31,24.546561538482496,18.325571855389438,1.15,1.15,6.220989683093059
816200189,836943713,255,67,20.827436488820773,18.425396734488224,0.85,1.15,2.4020397543325487
816200189,836943715,238,84,19.099454941979836,14.879656506779334,0.85,1.1124999999999998,4.219798435200502
816200189,836943717,229,93,7.865281656910537,6.073283588826655,0.85,1.15,1.791998068083882
816200189,836943719,244,78,25.692487796931495,22.149673372424985,0.9624999999999999,1.15,3.54281442450651
829720705,832129149,325,73,41.117312390737105,37.11170349570659,1.15,1.1124999999999998,4.005608895030512
829720705,832129154,335,63,34.31459869442776,31.40706147841705,0.85,1.1124999999999998,2.9075372160107094
829720705,832129157,296,102,39.046923235093075,43.73149112512759,1.15,0.9624999999999999,-4.684567890034515
829720705,832129159,321,77,27.19782970524235,26.625830496976196,0.85,1.075,0.5719992082661527
829720705,832129161,315,83,24.167772970175125,25.32818419405979,0.85,1.075,-1.1604112238846653
831882777,832810573,232,78,29.52786789381497,27.3044582512963,1.15,1.0,2.2234096425186713
831882777,832810576,241,69,44.53820335374739,38.15668721597925,1.15,1.15,6.381516137768145
831882777,832810578,233,77,27.466430541166435,29.469298933775484,1.15,1.0,-2.0028683926090487
831882777,832810582,224,86,37.29138321199284,33.82146978940475,1.15,1.15,3.4699134225880854
835479236,837761710,209,62,67.7823254534548,71.60125576378313,0.8875,1.15,-3.8189303103283265
835479236,837761712,180,91,57.088684405882795,56.99412281661664,1.15,0.9249999999999999,0.09456158926615643
835479236,837761714,221,50,39.78401381054115,49.386061722165074,0.85,0.85,-9.602047911623927
835479236,837761716,203,68,28.256039245989374,29.3748078507924,1.1124999999999998,1.0374999999999999,-1.1187686048030265
839068429,841435557,281,48,45.892918186769094,45.82858308994343,1.1124999999999998,1.0,0.06433509682566552
839068429,841435559,265,64,15.379720680499478,18.974239215835162,1.1124999999999998,0.9249999999999999,-3.594518535335684
839068429,868929135,264,65,42.01201077696073,42.80231977294307,1.1124999999999998,0.9624999999999999,-0.7903089959823433
839068429,868929138,217,112,20.146241825461995,20.44884571315061,1.1124999999999998,0.9624999999999999,-0.30260388768861546
839068429,868929142,289,40,20.17575744584222,24.11112279016192,0.9624999999999999,1.075,-3.9353653443197025
840012044,841431754,336,49,23.715235283522897,19.755768677530593,1.1124999999999998,1.0374999999999999,3.9594666059923043
840012044,841431758,326,59,20.813198205649144,10.587633036641266,1.15,1.15,10.225565169007877
840012044,868297127,305,80,31.04255978318176,30.315338062974707,1.15,1.0374999999999999,0.7272217202070514
840012044,868297129,305,80,7.996282273695374,9.87364795137182,1.15,1.0,-1.8773656776764467
840012044,868297131,312,73,14.956622535668487,14.704911516144902,1.15,1.0,0.25171101952358477
840012044,868297133,341,44,30.887487333806035,36.47621130723935,1.075,1.1124999999999998,-5.588723973433318
847657808,848037568,356,58,49.01792148822245,41.90492522805541,0.9249999999999999,1.15,7.112996260167037
847657808,848037570,370,44,25.571439307996346,17.312979687632037,1.1124999999999998,1.15,8.25845962036431
847657808,848037572,332,82,31.42403207708528,22.859513855167798,0.9624999999999999,1.15,8.564518221917481
847657808,848037574,297,117,44.284002451258885,32.2854343814665,1.15,1.15,11.998568069792384
847657808,848037576,349,65,51.667419081379556,44.89525914070331,0.85,1.15,6.7721599406762465
