stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,size,spatial_frequency,phase,temporal_frequency,contrast,color,Speed,y_position,frame,coherence,stimulus_name,x_position,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2967,0.0,811.08678,811.33699,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-20.0,null,0.25020552,102,,,0,,False,11,test,0
2968,0.0,811.33699,811.58719,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-40.0,null,0.25020552,40,,,0,,False,13,train,0
2969,0.0,811.58719,811.8374,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,-30.0,null,0.25021198,79,,,0,,False,11,test,1
2970,0.0,811.8374,812.08761,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-30.0,null,0.25021198,208,,,0,,False,10,train,1
2971,0.0,812.08761,812.33783,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,30.0,null,0.25021198,92,,,0,,False,10,train,0
2972,0.0,812.33783,812.58804,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,-30.0,null,0.25021198,39,,,0,,False,8,test,1
2973,0.0,812.58804,812.83824,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,40.0,null,0.25020552,68,,,0,,False,13,train,0
2974,0.0,812.83824,813.08845,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,20.0,null,0.25020552,211,,,0,,False,12,train,2
2975,0.0,813.08845,813.33866,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,0.0,null,0.25020552,7,,,0,,False,12,train,0
2976,0.0,813.33866,813.58886,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,20.0,null,0.25020552,1,,,0,,False,9,train,2
2977,0.0,813.58886,813.83907,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,-30.0,null,0.25021198,78,,,0,,False,14,test,0
2978,0.0,813.83907,814.08928,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-40.0,null,0.25021198,133,,,0,,False,10,train,1
2979,0.0,814.08928,814.3395,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,10.0,null,0.25021198,206,,,0,,False,13,train,0
2980,0.0,814.3395,814.58971,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-40.0,null,0.25021198,56,,,0,,False,14,test,2
2981,0.0,814.58971,814.83992,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,10.0,null,0.25020802,105,,,0,,False,8,test,0
2982,0.0,814.83992,815.09012,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,40.0,null,0.25020802,114,,,0,,False,14,test,2
2983,0.0,815.09012,815.34033,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-30.0,null,0.25020802,232,,,0,,False,12,train,2
2984,0.0,815.34033,815.59054,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-40.0,null,0.25020802,22,,,0,,False,12,train,0
2985,0.0,815.59054,815.84075,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,10.0,null,0.25021198,44,,,0,,False,13,train,1
2986,0.0,815.84075,816.09096,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,10.0,null,0.25021198,5,,,0,,False,11,test,0
2987,0.0,816.09096,816.34118,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,10.0,null,0.25021198,59,,,0,,False,9,train,0
2988,0.0,816.34118,816.59139,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,0.0,null,0.25021198,153,,,0,,False,12,train,0
2989,0.0,816.59139,816.8416,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-20.0,null,0.25020802,167,,,0,,False,10,train,2
2990,0.0,816.8416,817.0918,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,30.0,null,0.25020802,134,,,0,,False,10,train,2
2991,0.0,817.0918,817.34201,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-20.0,null,0.25020802,183,,,0,,False,10,train,2
2992,0.0,817.34201,817.59222,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-40.0,null,0.25020802,225,,,0,,False,9,train,1
2993,0.0,817.59222,817.84243,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,10.0,null,0.25021198,16,,,0,,False,12,train,2
2994,0.0,817.84243,818.09264,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,-30.0,null,0.25021198,79,,,0,,False,12,train,1
2995,0.0,818.09264,818.34286,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,-30.0,null,0.25021198,231,,,0,,False,12,train,1
2996,0.0,818.34286,818.59307,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,40.0,null,0.25021198,196,,,0,,False,13,train,0
2997,0.0,818.59307,818.84327,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-10.0,null,0.25020552,238,,,0,,False,11,test,0
2998,0.0,818.84327,819.09348,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,20.0,null,0.25020552,69,,,0,,False,11,test,0
2999,0.0,819.09348,819.34369,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-30.0,null,0.25020552,208,,,0,,False,11,test,1
3000,0.0,819.34369,819.59389,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,40.0,null,0.25020552,74,,,0,,False,14,test,2
3001,0.0,819.59389,819.8441,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,-30.0,null,0.25020948,132,,,0,,False,12,train,0
3002,0.0,819.8441,820.09431,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-20.0,null,0.25020948,167,,,0,,False,11,test,2
3003,0.0,820.09431,820.34452,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,20.0,null,0.25020948,218,,,0,,False,12,train,1
3004,0.0,820.34452,820.59473,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,-30.0,null,0.25020948,121,,,0,,False,13,train,1
