stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,x_position,temporal_frequency,color,size,spatial_frequency,phase,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2928,0.0,823.89074,824.14095,-20.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020994,80,,,0,,False,11,test,2
2929,0.0,824.14095,824.39115,10.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020756,40,,,0,,False,13,train,0
2930,0.0,824.39115,824.64136,20.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020756,211,,,0,,False,11,test,0
2931,0.0,824.64136,824.89157,-20.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020756,80,,,0,,False,12,train,2
2932,0.0,824.89157,825.14178,0.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020756,23,,,0,,False,11,test,1
2933,0.0,825.14178,825.392,40.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25022244,230,,,0,,False,11,test,2
2934,0.0,825.392,825.64222,-30.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25022244,112,,,0,,False,10,train,2
2935,0.0,825.64222,825.89244,-10.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25022244,175,,,0,,False,10,train,1
2936,0.0,825.89244,826.14267,-10.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25022244,241,,,0,,False,11,test,2
2937,0.0,826.14267,826.39286,-40.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25019506,216,,,0,,False,10,train,2
2938,0.0,826.39286,826.64306,40.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25019506,149,,,0,,False,11,test,1
2939,0.0,826.64306,826.89325,30.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25019506,82,,,0,,False,12,train,1
2940,0.0,826.89325,827.14345,-40.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25019506,145,,,0,,False,12,train,0
2941,0.0,827.14345,827.39366,-30.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021494,163,,,0,,False,13,train,1
