ecephys_unit_id,ecephys_probe_id,area,ccf_ap_mm,ccf_ml_mm,ephys_effective_n,zhuang_da_dap_degmm,zhuang_da_dml_degmm,zhuang_de_dap_degmm,zhuang_de_dml_degmm,zhuang_azimuth_gradient_magnitude_degmm,zhuang_elevation_gradient_magnitude_degmm,ephys_da_dap_degmm,ephys_da_dml_degmm,ephys_de_dap_degmm,ephys_de_dml_degmm,ephys_azimuth_gradient_magnitude_degmm,ephys_elevation_gradient_magnitude_degmm
950997110,792586876,VISam,7.611,7.665,3594.3294760202375,29.98931675954348,25.79344374126185,0.9641565922111427,-5.0913554402367085,39.555794262508186,5.181843123168834,-18.3888430773341,56.59254670690296,-0.8690864508656151,-85.86860184246476,59.50517534211466,85.8729997941077
950997119,792586876,VISam,7.605,7.662,3598.321511576989,32.25097160258361,25.176979677062242,0.6105161588281189,-3.2725971434154824,40.914611998280755,3.3290572304004353,-18.72041326586742,57.00495496428634,-1.3709418001193332,-86.51294666954122,60.00015636083942,86.52380841633243
950997165,792586876,VISam,7.602,7.661,3593.7951862769473,33.19229747896143,24.837599839343028,0.4915728166857298,-2.6686015092919644,41.45642263523472,2.7134991891466806,-19.16065594609632,56.859760835236266,-1.481536784383571,-86.56293685932583,60.0013594723065,86.57561428575089
950997203,792586876,VISam,7.587,7.654,3573.1150200995708,37.64597006080344,22.518157217891776,0.1459927195256685,-0.8283086635998392,43.866689712224705,0.8410761656051443,-21.24384787994098,56.2388965598203,-2.0693647726589237,-86.85477226566626,60.11750626075769,86.87942066958705
950997213,792586876,VISam,7.587,7.654,3573.1150200995708,37.64597006080344,22.518157217891776,0.1459927195256685,-0.8283086635998392,43.866689712224705,0.8410761656051443,-21.24384787994098,56.2388965598203,-2.0693647726589237,-86.85477226566626,60.11750626075769,86.87942066958705
950997243,792586876,VISam,7.59,7.655,3577.627957720972,36.87533502747888,22.9143424471948,0.18768114955350718,-1.0513590584093144,43.41494469852662,1.067979439688352,-20.802297861164316,56.38951411635257,-1.9654978239604868,-86.81011827272769,60.10418370282494,86.83236617886767
950997277,792586876,VISam,7.587,7.654,3573.1150200995708,37.64597006080344,22.518157217891776,0.1459927195256685,-0.8283086635998392,43.866689712224705,0.8410761656051443,-21.24384787994098,56.2388965598203,-2.0693647726589237,-86.85477226566626,60.11750626075769,86.87942066958705
950997285,792586876,VISam,7.587,7.654,3573.1150200995708,37.64597006080344,22.518157217891776,0.1459927195256685,-0.8283086635998392,43.866689712224705,0.8410761656051443,-21.24384787994098,56.2388965598203,-2.0693647726589237,-86.85477226566626,60.11750626075769,86.87942066958705
950997306,792586876,VISam,7.578,7.65,3560.55193739678,39.66444713374096,21.113798888661613,0.057725762056862764,-0.34574777427396014,44.93396120904743,0.35053357474062713,-22.509487202621056,55.83959707514071,-2.3983921522313154,-87.00967647319057,60.205793871013974,87.04272562876909
950997333,792586876,VISam,7.575,7.649,3556.049040534358,40.17023849100584,20.704223579309595,0.04597347616379499,-0.2776422342244304,45.191956523770095,0.28142276158071594,-22.952017725308547,55.6849119479968,-2.497213074255401,-87.05032831849456,60.22959850703834,87.08613973242774
950997343,792586876,VISam,7.575,7.649,3556.049040534358,40.17023849100584,20.704223579309595,0.04597347616379499,-0.2776422342244304,45.191956523770095,0.28142276158071594,-22.952017725308547,55.6849119479968,-2.497213074255401,-87.05032831849456,60.22959850703834,87.08613973242774
950997366,792586876,VISam,7.569,7.646,3548.01563005127,41.15797213793185,19.768455650844906,0.022871592254926562,-0.14274189758628658,45.659287218770686,0.14456264752282846,-23.777741202396673,55.429450735496765,-2.7139634606721055,-87.15390828702277,60.31421876744335,87.19615431524856
