ecephys_unit_id,area,ephys_effective_n,zhuang_azimuth_grad,zhuang_elevation_grad,garrett_azimuth_grad,garrett_elevation_grad,naive_azimuth_grad,naive_elevation_grad,ephys_azimuth_grad,ephys_elevation_grad
950997343,VISam,3556.049040534358,[40.17023849 20.70422358],[ 0.04597348 -0.27764223],[ 0.0461887  17.35541857],[  1.79140519 -35.46903977],[-16.09629505  25.88956345],[ -7.1018306  -68.37838642],[-22.95201773  55.68491195],[ -2.49721307 -87.05032832]
950997366,VISam,3548.01563005127,[41.15797214 19.76845565],[ 0.02287159 -0.1427419 ],[-0.06292504 17.05289757],[  1.91542713 -35.35498493],[-16.48605855  25.71633979],[ -6.36496948 -67.86501323],[-23.7777412   55.42945074],[ -2.71396346 -87.15390829]
950997390,VISam,3548.01563005127,[41.15797214 19.76845565],[ 0.02287159 -0.1427419 ],[-0.06292504 17.05289757],[  1.91542713 -35.35498493],[-16.48605855  25.71633979],[ -6.36496948 -67.86501323],[-23.7777412   55.42945074],[ -2.71396346 -87.15390829]
950997430,VISam,3531.0188201590295,[42.15220265 18.26115178],[ 0.00495885 -0.03417353],[-0.22700978 16.44168175],[  2.15719554 -35.15208365],[-17.22834897  25.31770978],[ -4.98689637 -66.88185603],[-25.49266563  54.84744508],[ -3.10705025 -87.32189399]
950997473,VISam,3527.505041136663,[42.26311996 17.91251775],[ 0.00326041 -0.02286665],[-0.30758497 16.2979904 ],[  2.22231618 -35.07981069],[-17.46044717  25.23347816],[ -4.5833757  -66.63844125],[-25.87749276  54.73988971],[ -3.21656967 -87.37815187]
950997508,VISam,3539.995607246821,[41.79606016 18.86537605],[ 0.00834848 -0.05642724],[-0.17165176 16.75202392],[  2.03943876 -35.23995932],[-16.88238611  25.5347475 ],[ -5.63260288 -67.36401642],[-24.60477202  55.1685661 ],[ -2.92398581 -87.25215206]
950997548,VISam,3510.567360158414,[42.21024838 16.89505028],[ 0.00039064 -0.00337697],[-0.39269825 15.84189502],[  2.38580745 -34.95629698],[-18.23172881  24.79788666],[ -3.22515333 -65.70994639],[-27.59819126  54.13393059],[ -3.57994096 -87.52256937]
950997629,VISam,3499.117231323096,[41.87566477 16.57232405],[ 8.26042361e-05 -8.35298726e-04],[-0.37832475 15.78999801],[  2.38048079 -34.96904011],[-18.90117988  24.47975876],[ -2.11735675 -65.04288717],[-28.81822007  53.73159416],[ -3.85743251 -87.64371978]
950997642,VISam,3491.1753033107125,[41.5429937  16.40129724],[ 3.55714397e-06 -1.22608547e-04],[-0.35269129 15.74632533],[  2.38102175 -34.98028744],[-19.33579773  24.24934941],[ -1.41120812 -64.61408591],[-29.65287703  53.43907286],[ -4.02820798 -87.71083574]
950997656,VISam,3491.1753033107125,[41.5429937  16.40129724],[ 3.55714397e-06 -1.22608547e-04],[-0.35269129 15.74632533],[  2.38102175 -34.98028744],[-19.33579773  24.24934941],[ -1.41120812 -64.61408591],[-29.65287703  53.43907286],[ -4.02820798 -87.71083574]
950997667,VISam,3484.230302617589,[41.37924503 16.51647744],[ 6.10739345e-07 -3.91482137e-05],[-0.35253711 15.76180757],[  2.37434564 -34.97538046],[-19.84047243  24.02927958],[ -0.63188292 -64.20357737],[-30.43059321  53.19051765],[ -4.20575727 -87.79044495]
950997710,VISam,3465.9567778367923,[41.6710119  16.83087402],[-2.83950095e-09 -6.28455789e-08],[-0.21731455 16.07675111],[  2.20440306 -35.12993784],[-21.07422167  23.41506673],[  1.21441373 -63.23842839],[-32.44021318  52.49036321],[ -4.59968512 -87.94273412]
950997731,VISam,3437.1288398853203,[43.40668753 17.17214992],[2.98496856e-08 1.33679874e-05],[ 0.03195398 17.0529745 ],[  1.79034124 -35.45504369],[-22.08552073  22.5470775 ],[  2.75783441 -62.7204709 ],[-34.03064842  52.01409237],[ -4.7960281  -87.67968068]
950997737,VISam,3427.328628565716,[44.30108107 17.17132555],[-1.01122800e-05  2.00333237e-04],[ 0.13986263 17.54481467],[  1.62269744 -35.56298665],[-22.51921176  22.2034847 ],[  3.37034434 -62.59746861],[-34.52972437  51.89159519],[ -4.8625191  -87.58732456]
950997814,VISam,3398.2914020767753,[47.06756809 15.95556842],[-0.00136366  0.01192502],[ 0.49977753 19.66750893],[  1.07000906 -35.81470125],[-23.92601685  21.03471144],[  5.2468919  -62.39275211],[-35.95707507  51.55330748],[ -5.03503575 -87.31357073]
950998085,VISam,3556.049040534358,[40.17023849 20.70422358],[ 0.04597348 -0.27764223],[ 0.0461887  17.35541857],[  1.79140519 -35.46903977],[-16.09629505  25.88956345],[ -7.1018306  -68.37838642],[-22.95201773  55.68491195],[ -2.49721307 -87.05032832]
950998104,VISam,3515.0412503837833,[42.34610525 17.09458452],[ 0.00059313 -0.00487604],[-0.4195632 15.891466 ],[  2.38163646 -34.94305201],[-18.05163632  24.91547154],[ -3.54313754 -65.93761884],[-27.15282817  54.30036647],[ -3.49569745 -87.49347928]
950998266,VISam,3544.8850574279822,[16.6509059  29.94107293],[  7.37720659 -34.22728761],[ 3.08501452 22.21681879],[  1.18239436 -35.46312705],[-10.50295361  27.50550972],[-13.41643149 -70.20345086],[-17.12860537  51.45013075],[  3.93185316 -79.54581386]
951005671,VISp,1289.0793758965174,[-21.64572512 -73.84620226],[-25.58020466   3.45355698],[nan nan],[nan nan],[ 4.42177003 -2.82828928],[1.44071916 4.80172654],[41.26155118  2.66485916],[-12.26780111  -5.99737483]
951005723,VISp,1013.9746256032558,[-19.15645442 -66.56080423],[-25.27047645   3.68478692],[nan nan],[nan nan],[ 6.68222514 -3.03729443],[1.01437458 4.97889383],[41.01513263  2.72143249],[-11.47388504  -7.17575015]
951005730,VISp,984.0573396502634,[-18.90245093 -66.1925037 ],[-25.06883638   3.67077827],[nan nan],[nan nan],[ 6.92885705 -3.05823062],[0.97706362 4.99898439],[40.99598332  2.72868481],[-11.39128765  -7.29814062]
951005768,VISp,946.9320700266569,[-18.75193457 -66.36643997],[-24.71935709   3.6142887 ],[nan nan],[nan nan],[ 7.23426804 -3.08377109],[0.9348069  5.02577795],[40.97692158  2.74209174],[-11.29202862  -7.44715526]
951005792,VISp,916.1463433787594,[-18.73839693 -66.99186315],[-24.5269288    3.63815774],[nan nan],[nan nan],[ 7.49050614 -3.10463659],[0.89520058 5.04253709],[40.95292103  2.73943977],[-11.20254121  -7.57461372]
951005881,VISp,654.2201496438421,[-18.9619118  -74.19799665],[-15.71217719   1.5869816 ],[nan nan],[nan nan],[ 7.06499328 -3.31024993],[-0.92806229  4.60009831],[41.02972244  2.67888113],[-10.3438311   -8.43733557]
951005890,VISp,654.2201496438421,[-18.9619118  -74.19799665],[-15.71217719   1.5869816 ],[nan nan],[nan nan],[ 7.06499328 -3.31024993],[-0.92806229  4.60009831],[41.02972244  2.67888113],[-10.3438311   -8.43733557]
951005922,VISp,635.0322682828148,[-18.97956243 -73.79130011],[-14.57340515   1.30855852],[nan nan],[nan nan],[ 6.86242164 -3.33759975],[-1.13358522  4.59950547],[41.04884605  2.66078822],[-10.27331884  -8.4839751 ]
951005942,VISp,635.0322682828148,[-18.97956243 -73.79130011],[-14.57340515   1.30855852],[nan nan],[nan nan],[ 6.86242164 -3.33759975],[-1.13358522  4.59950547],[41.04884605  2.66078822],[-10.27331884  -8.4839751 ]
951005989,VISp,539.0076967778144,[-18.98189702 -70.08308578],[-10.31190263   0.471033  ],[nan nan],[nan nan],[ 5.83531195 -3.50779066],[-2.04726079  4.87626579],[41.12206631  2.47833361],[-9.90580895 -8.69737105]
951006007,VISp,557.6769959847574,[-18.95405127 -70.80166403],[-10.88951783   0.53194612],[nan nan],[nan nan],[ 6.00578247 -3.48533069],[-1.88628966  4.84625158],[41.10867043  2.52541473],[-9.97641681 -8.65965688]
951006017,VISp,557.6769959847574,[-18.95405127 -70.80166403],[-10.88951783   0.53194612],[nan nan],[nan nan],[ 6.00578247 -3.48533069],[-1.88628966  4.84625158],[41.10867043  2.52541473],[-9.97641681 -8.65965688]
951006026,VISp,557.6769959847574,[-18.95405127 -70.80166403],[-10.88951783   0.53194612],[nan nan],[nan nan],[ 6.00578247 -3.48533069],[-1.88628966  4.84625158],[41.10867043  2.52541473],[-9.97641681 -8.65965688]
951006034,VISp,557.6769959847574,[-18.95405127 -70.80166403],[-10.88951783   0.53194612],[nan nan],[nan nan],[ 6.00578247 -3.48533069],[-1.88628966  4.84625158],[41.10867043  2.52541473],[-9.97641681 -8.65965688]
951006044,VISp,557.6769959847574,[-18.95405127 -70.80166403],[-10.88951783   0.53194612],[nan nan],[nan nan],[ 6.00578247 -3.48533069],[-1.88628966  4.84625158],[41.10867043  2.52541473],[-9.97641681 -8.65965688]
951006062,VISp,539.0076967778144,[-18.98189702 -70.08308578],[-10.31190263   0.471033  ],[nan nan],[nan nan],[ 5.83531195 -3.50779066],[-2.04726079  4.87626579],[41.12206631  2.47833361],[-9.90580895 -8.69737105]
951006072,VISp,539.0076967778144,[-18.98189702 -70.08308578],[-10.31190263   0.471033  ],[nan nan],[nan nan],[ 5.83531195 -3.50779066],[-2.04726079  4.87626579],[41.12206631  2.47833361],[-9.90580895 -8.69737105]
951006098,VISp,520.5718568214775,[-19.00961917 -69.41810562],[-10.03855482   0.45205886],[nan nan],[nan nan],[ 5.72812684 -3.51206336],[-2.18159618  4.8539499 ],[41.13162693  2.41675224],[-9.83531227 -8.73285288]
951006179,VISp,479.06680143840657,[-19.04654319 -68.05828909],[-9.71695766  0.41305177],[nan nan],[nan nan],[ 5.56880476 -3.5111076 ],[-2.43089478  4.79904463],[41.14957948  2.26365817],[-9.67322735 -8.80972362]
951006190,VISp,460.7784771657821,[-19.18547109 -68.13725756],[-10.21453453   0.43048863],[nan nan],[nan nan],[ 5.50918909 -3.51059042],[-2.5339942  4.7753962],[41.16078699  2.20366336],[-9.60282369 -8.84285914]
951006260,VISp,442.18726714191916,[-19.37160135 -68.42942259],[-10.63930283   0.38458203],[nan nan],[nan nan],[ 5.53133713 -3.49718379],[-2.58497684  4.74465371],[41.16204049  2.11186416],[-9.52532503 -8.87410877]
951006269,VISp,423.99728665843594,[-19.54588433 -68.7579022 ],[-11.25333234   0.35044603],[nan nan],[nan nan],[ 5.50343443 -3.49347335],[-2.66725228  4.72011691],[41.17434593  2.05292706],[-9.45498338 -8.90568007]
951006298,VISp,387.43463790473857,[-19.9625803  -70.30629206],[-13.38662267   0.20678135],[nan nan],[nan nan],[ 5.56815302 -3.46926016],[-2.75423486  4.6628635 ],[41.19034471  1.9045412 ],[-9.30728089 -8.96502497]
951006318,VISp,387.43463790473857,[-19.9625803  -70.30629206],[-13.38662267   0.20678135],[nan nan],[nan nan],[ 5.56815302 -3.46926016],[-2.75423486  4.6628635 ],[41.19034471  1.9045412 ],[-9.30728089 -8.96502497]
951006345,VISp,369.38670956112765,[-20.22523432 -71.29199872],[-14.4809472   0.1591279],[nan nan],[nan nan],[ 5.58605794 -3.46093724],[-2.80643122  4.63704352],[41.20423606  1.84713189],[-9.23702882 -8.99433685]
951006355,VISp,387.43463790473857,[-19.9625803  -70.30629206],[-13.38662267   0.20678135],[nan nan],[nan nan],[ 5.56815302 -3.46926016],[-2.75423486  4.6628635 ],[41.19034471  1.9045412 ],[-9.30728089 -8.96502497]
951006364,VISp,351.3824895682461,[-20.41088921 -72.27188294],[-15.79798182   0.09824219],[nan nan],[nan nan],[ 5.61805751 -3.45119508],[-2.84937247  4.61082872],[41.21861537  1.79019267],[-9.16680432 -9.02295352]
951006423,VISp,314.82511255981433,[-20.85543388 -75.2487069 ],[-1.98301973e+01  7.99758365e-03],[nan nan],[nan nan],[nan nan],[nan nan],[41.47607958  1.90768005],[-9.03881777 -9.14034334]
951006432,VISp,314.82511255981433,[-20.85543388 -75.2487069 ],[-1.98301973e+01  7.99758365e-03],[nan nan],[nan nan],[nan nan],[nan nan],[41.47607958  1.90768005],[-9.03881777 -9.14034334]
951006442,VISp,314.82511255981433,[-20.85543388 -75.2487069 ],[-1.98301973e+01  7.99758365e-03],[nan nan],[nan nan],[nan nan],[nan nan],[41.47607958  1.90768005],[-9.03881777 -9.14034334]
951006463,VISp,300.68971064282033,[-20.84357864 -76.40100994],[-21.991793     0.20669225],[nan nan],[nan nan],[nan nan],[nan nan],[41.72009487  2.09938038],[-8.98703975 -9.20130248]
951006481,VISp,293.79048830393157,[-20.8211151  -76.63149316],[-22.82411731   0.31575054],[nan nan],[nan nan],[nan nan],[nan nan],[41.84945509  2.21586802],[-8.9626921  -9.22779576]
951006491,VISp,293.79048830393157,[-20.8211151  -76.63149316],[-22.82411731   0.31575054],[nan nan],[nan nan],[nan nan],[nan nan],[41.84945509  2.21586802],[-8.9626921  -9.22779576]
951006500,VISp,293.79048830393157,[-20.8211151  -76.63149316],[-22.82411731   0.31575054],[nan nan],[nan nan],[nan nan],[nan nan],[41.84945509  2.21586802],[-8.9626921  -9.22779576]
951006520,VISp,293.79048830393157,[-20.8211151  -76.63149316],[-22.82411731   0.31575054],[nan nan],[nan nan],[nan nan],[nan nan],[41.84945509  2.21586802],[-8.9626921  -9.22779576]
951006583,VISp,273.0022252761537,[-20.14099665 -75.00101418],[-24.76774626   1.06873134],[nan nan],[nan nan],[nan nan],[nan nan],[42.24393812  2.56494291],[-8.86977992 -9.27220028]
951006646,VISp,252.67410010164355,[-19.53939057 -72.19667838],[-25.8699829    1.78766203],[nan nan],[nan nan],[nan nan],[nan nan],[42.66368006  2.97573621],[-8.77155719 -9.28710827]
951006715,VISp,230.7929038473294,[-18.97761359 -68.50570986],[-26.37258519   2.4940851 ],[nan nan],[nan nan],[nan nan],[nan nan],[43.13755797  3.45147684],[-8.6425248  -9.25317876]
951006735,VISp,224.14297560830806,[-18.91614005 -67.6622696 ],[-26.4268198    2.64056588],[nan nan],[nan nan],[nan nan],[nan nan],[43.28827699  3.60933815],[-8.6011908  -9.23611166]
951006761,VISp,210.91350805258153,[-19.08310894 -66.85926148],[-26.57485032   2.70737585],[nan nan],[nan nan],[nan nan],[nan nan],[43.59574575  3.93674275],[-8.51372663 -9.18967807]
951006784,VISp,204.33396873587608,[-19.19470412 -66.71220403],[-26.59602871   2.72517912],[nan nan],[nan nan],[nan nan],[nan nan],[43.75249549  4.10628604],[-8.46759647 -9.16031157]
951006801,VISp,197.77789239327583,[-19.33958415 -66.68924619],[-26.61913293   2.73558007],[nan nan],[nan nan],[nan nan],[nan nan],[43.91125548  4.27972333],[-8.4198676  -9.12684527]
951006869,VISp,191.24527902478084,[-19.526851   -66.81376202],[-26.64571196   2.73005084],[nan nan],[nan nan],[nan nan],[nan nan],[44.0720257  4.4570546],[-8.37054001 -9.08927917]
951006878,VISp,191.24527902478084,[-19.526851   -66.81376202],[-26.64571196   2.73005084],[nan nan],[nan nan],[nan nan],[nan nan],[44.0720257  4.4570546],[-8.37054001 -9.08927917]
951006888,VISp,191.24527902478084,[-19.526851   -66.81376202],[-26.64571196   2.73005084],[nan nan],[nan nan],[nan nan],[nan nan],[44.0720257  4.4570546],[-8.37054001 -9.08927917]
951006954,VISp,163.81072555731754,[-20.97954527 -70.1013582 ],[-26.73723766   2.03854489],[nan nan],[nan nan],[nan nan],[nan nan],[44.7764093   5.25799951],[-8.1514979  -8.89757895]
951007038,VISp,154.99132545878436,[-21.94184027 -72.62356479],[-26.79299581   1.32617404],[nan nan],[nan nan],[nan nan],[nan nan],[46.23357404  7.47686807],[-7.42550586 -7.55664483]
951007067,VISp,150.55346585430658,[-22.40394481 -73.79867435],[-26.81819259   0.78244383],[nan nan],[nan nan],[nan nan],[nan nan],[47.36496233  9.23530352],[-6.85066488 -6.47224487]
951007074,VISp,150.55346585430658,[-22.40394481 -73.79867435],[-26.81819259   0.78244383],[nan nan],[nan nan],[nan nan],[nan nan],[47.36496233  9.23530352],[-6.85066488 -6.47224487]
951007338,VISp,387.43463790473857,[-19.9625803  -70.30629206],[-13.38662267   0.20678135],[nan nan],[nan nan],[ 5.56815302 -3.46926016],[-2.75423486  4.6628635 ],[41.19034471  1.9045412 ],[-9.30728089 -8.96502497]
951007379,VISp,184.73612863039108,[-19.8660548  -67.51278642],[-26.67283368   2.56617094],[nan nan],[nan nan],[nan nan],[nan nan],[44.23480616  4.63827987],[-8.31961371 -9.04761327]
951007452,VISp,178.25044121010652,[-20.21175851 -68.29390184],[-26.6953077    2.39645319],[nan nan],[nan nan],[nan nan],[nan nan],[44.39959686  4.82339913],[-8.26708868 -9.00184757]
951007510,VISp,191.24527902478084,[-19.526851   -66.81376202],[-26.64571196   2.73005084],[nan nan],[nan nan],[nan nan],[nan nan],[44.0720257  4.4570546],[-8.37054001 -9.08927917]
951009485,VISal,3552.3010655541416,[ 11.65972664 106.48292853],[21.52003268 -1.59479252],[8.14850242 0.65177842],[1.69816556 9.52676588],[-31.67559986   2.30940743],[ -0.3489717  -23.19147118],[-32.91865182  19.8626299 ],[-21.82848473  -2.23889758]
951009846,VISal,3476.6719070346808,[13.75895137 86.20932454],[ 25.31984788 -17.06002724],[-1.58757234 -7.53221101],[1.15002133 8.62709109],[-29.33100232  -3.74152316],[  5.08192881 -29.59069006],[-39.06906874  15.17460228],[-23.09067573   4.34225228]
951009884,VISal,3467.5424027434474,[14.67081397 84.32433271],[ 24.23932614 -17.10667031],[-2.73692665 -8.60354   ],[1.10073301 8.55279246],[-28.89049798  -4.1890493 ],[  5.36282959 -29.89796119],[-39.39692001  14.97805669],[-23.20484295   4.80262092]
951009950,VISal,3431.0770080772036,[17.14465349 76.11962405],[ 16.61389657 -13.78877522],[-11.12688269 -16.92810596],[0.80095302 8.14088034],[-26.93660878  -6.47464322],[  6.43716396 -31.02241647],[-40.7864912   14.38769994],[-23.70101215   6.70015535]
951010045,VISal,3374.5512859920163,[18.24445383 70.1668563 ],[ 14.75536868 -15.30533141],[-22.08721023 -28.04340034],[0.44137047 7.66600652],[-25.29592941  -6.04760212],[  7.79259624 -31.30612699],[-41.99368314  13.76627216],[-24.19224624   8.73378971]
951010113,VISal,3295.4639418936727,[20.96533638 66.30412493],[ 19.31353342 -21.92353402],[-34.1817963  -40.60764298],[0.07717779 7.2113814 ],[-23.11701436  -4.79521115],[  8.87965864 -30.99707401],[-42.88957522  13.95279803],[-24.7740074   10.38275572]
951010123,VISal,3295.4639418936727,[20.96533638 66.30412493],[ 19.31353342 -21.92353402],[-34.1817963  -40.60764298],[0.07717779 7.2113814 ],[-23.11701436  -4.79521115],[  8.87965864 -30.99707401],[-42.88957522  13.95279803],[-24.7740074   10.38275572]
951010270,VISal,3162.159823965316,[24.2295525  62.68349628],[ 23.10738391 -29.12168454],[-58.21977841 -65.860477  ],[-0.64621338  6.32180846],[-19.31153526  -3.0118193 ],[ 10.61677371 -30.45646561],[-44.43159232  14.545799  ],[-25.76236651  13.20581732]
951010362,VISal,3082.531604150189,[24.55632665 61.75160689],[ 22.3146999 -30.5123318],[-74.68512105 -83.24218247],[-1.14224962  5.72140342],[-16.90448173  -2.19965214],[ 11.66050551 -30.19769397],[-45.36147517  15.03825202],[-26.36050854  14.9334027 ]
951010372,VISal,3057.4134881445216,[24.65323252 61.22615253],[ 21.80138137 -30.82906124],[-79.64374757 -88.45012451],[-1.2994108   5.52558331],[-16.07442687  -2.02620952],[ 12.06060966 -30.20570654],[-45.64388468  15.17210078],[-26.55322639  15.49832599]
951010393,VISal,2978.527220630346,[26.4202331  57.81757221],[ 19.46206351 -30.00452783],[ -95.64615358 -105.24331053],[-1.83887074  4.84901505],[-13.54200208  -1.48651985],[ 13.12059301 -30.036043  ],[-46.57035709  15.7856389 ],[-27.15433734  17.25483137]
951010406,VISal,2978.527220630346,[26.4202331  57.81757221],[ 19.46206351 -30.00452783],[ -95.64615358 -105.24331053],[-1.83887074  4.84901505],[-13.54200208  -1.48651985],[ 13.12059301 -30.036043  ],[-46.57035709  15.7856389 ],[-27.15433734  17.25483137]
951010415,VISal,2978.527220630346,[26.4202331  57.81757221],[ 19.46206351 -30.00452783],[ -95.64615358 -105.24331053],[-1.83887074  4.84901505],[-13.54200208  -1.48651985],[ 13.12059301 -30.036043  ],[-46.57035709  15.7856389 ],[-27.15433734  17.25483137]
951010460,VISal,2949.807406070836,[27.02669224 55.69042318],[ 17.95467482 -28.74728904],[-101.18537019 -110.9989706 ],[-2.0215641   4.61820202],[-12.4973865   -1.41726764],[ 13.65075352 -30.14728636],[-46.88380978  15.94179445],[-27.38016146  17.92834239]
951010537,VISal,2896.3981524195333,[28.40296049 51.6786902 ],[ 14.2414859  -23.90303152],[-110.81438288 -120.71325225],[-2.38412413  4.15205979],[-10.73437186  -1.18282367],[ 14.31849393 -30.0127137 ],[-47.52622299  16.48005521],[-27.78999069  19.13391368]
951010563,VISal,2896.3981524195333,[28.40296049 51.6786902 ],[ 14.2414859  -23.90303152],[-110.81438288 -120.71325225],[-2.38412413  4.15205979],[-10.73437186  -1.18282367],[ 14.31849393 -30.0127137 ],[-47.52622299  16.48005521],[-27.78999069  19.13391368]
951010574,VISal,2871.682071032753,[28.58512765 49.93564249],[ 12.1574372  -21.04229653],[-113.73059752 -123.49889422],[-2.52783994  3.9505654 ],[-9.83638327 -1.15702583],[ 14.72740415 -30.06901042],[-47.80678452  16.67951521],[-27.98431727  19.71450757]
951010601,VISal,2871.682071032753,[28.58512765 49.93564249],[ 12.1574372  -21.04229653],[-113.73059752 -123.49889422],[-2.52783994  3.9505654 ],[-9.83638327 -1.15702583],[ 14.72740415 -30.06901042],[-47.80678452  16.67951521],[-27.98431727  19.71450757]
951010612,VISal,2871.682071032753,[28.58512765 49.93564249],[ 12.1574372  -21.04229653],[-113.73059752 -123.49889422],[-2.52783994  3.9505654 ],[-9.83638327 -1.15702583],[ 14.72740415 -30.06901042],[-47.80678452  16.67951521],[-27.98431727  19.71450757]
951010631,VISal,2871.682071032753,[28.58512765 49.93564249],[ 12.1574372  -21.04229653],[-113.73059752 -123.49889422],[-2.52783994  3.9505654 ],[-9.83638327 -1.15702583],[ 14.72740415 -30.06901042],[-47.80678452  16.67951521],[-27.98431727  19.71450757]
