site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,delta_azimuth_deg,delta_elevation_deg,fit_residual_deg
site5,C,5002167,355.3149195577504,209.66560813656477,50.88604005228915,2.618414662166556,37.38829646972656,32.34627978103638,6.219294625282823,4.694597072283456,-6.760707263833632,24.59645763966003
site5,C,5002172,356.2488716704895,209.677490905967,50.14177975470923,2.7715551194608907,42.34584846972656,11.022259781036377,12.07746965465864,4.694597072283456,-6.760707263833632,3.4406926837682197
site5,C,5002175,354.60946835026397,209.65663260783182,51.4753336252855,2.5031942567925354,52.87815346972656,25.454519781036375,7.825080059354409,4.694597072283456,-6.760707263833632,17.30071133539563
site5,C,5002180,358.24916134107445,209.70294079849256,48.724581781352384,3.100595208082599,39.18700946972656,27.534869781036377,7.772439387529206,4.694597072283456,-6.760707263833632,18.32510274456554
site5,C,5002181,357.98620395010903,209.69959516438902,48.89545018844173,3.0572932593931124,49.79413846972656,12.846199781036377,6.934225881491298,4.694597072283456,-6.760707263833632,6.360411291059751
site5,C,5002183,359.89128491017203,209.72383370663573,47.67013684133913,3.371056046257232,50.140335469726566,28.53713978103638,7.382026419809479,4.694597072283456,-6.760707263833632,19.75075139
site5,C,5002192,351.8819654812162,209.6219303065096,53.88558367534867,2.0650550961955285,46.250082469726564,27.84450978103638,8.03220727439186,4.694597072283456,-6.760707263833632,19.24478294462053
site5,C,5002196,362.7212504867339,209.75983965159142,45.76626252345315,3.8372604877793344,52.65694246972656,23.321709781036375,7.152383925807994,4.694597072283456,-6.760707263833632,17.20791256451571
site5,C,5002199,360.477951916912,209.7312979316874,47.28821473114424,3.467699634115549,52.62264046972656,21.345819781036376,6.712493048057448,4.694597072283456,-6.760707263833632,14.972580530887097
site5,C,5002223,370.43043579013965,209.85792441417178,41.61506588500714,5.107098061281633,44.51479946972656,31.16437978103638,6.396282646247753,4.694597072283456,-6.760707263833632,20.737204340527708
