ecephys_unit_id,ecephys_session_id,ecephys_structure_acronym,group,p_value_rf,snr,firing_rate_dg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,map_mean,map_max,threshold_azimuth_deg,threshold_elevation_deg,threshold_area_deg2,threshold_component_touches_edge,allen_success,allen_center_azimuth_deg,allen_center_elevation_deg,allen_sigma_x_deg,allen_sigma_y_deg,allen_rmse,corrected_success,corrected_at_bound,corrected_sigma_upper_bound,corrected_center_bound,corrected_baseline,corrected_center_azimuth_deg,corrected_center_elevation_deg,corrected_sigma_x_deg,corrected_sigma_y_deg,corrected_rmse,fit_exception,allen_major_sigma_deg,allen_halfmax_area_deg2,corrected_major_sigma_deg,corrected_halfmax_area_deg2,published_like_qc,allen_finite,corrected_censored
951870350,737581020,VISp,V1,0.308,4.8035711,0.061421353,0,30.904136,25.966638,0.25925926,2,90,50,100,True,True,43.826087,19.932557,30.904135,25.966637,0.52975643,True,False,False,False,0.19987907,59.973388,4.9984695,5.2880473,2.7027751,0.43032318,,30.904135,3494.9231,5.2880473,62.245874,False,True,False
951869470,737581020,VISp,V1,0,2.1696229,6.8945469,700,29.942813,47.650755,32.777778,90,72.857,14.286,700,True,True,49.067832,29.241308,29.942813,47.650756,18.576415,True,False,False,False,24.900692,69.282184,13.172293,19.47856,9.3203184,9.2053765,,47.650756,6213.9495,19.47856,790.66575,True,True,False
951870390,737581020,VISp,V1,0,1.3012659,0.18214608,500,7.8763515,10.32517,0.44444444,5,53.333,3.333,300,False,True,42.882983,10.036682,7.8763515,10.32517,0.96605356,True,False,False,False,0.18470355,49.694775,3.0338705,9.324799,7.1020076,0.61357306,,10.32517,354.18294,9.324799,288.42038,True,True,False
951869485,737581020,VISp,V1,,7.4264831,0.054008431,,,,0,0,,,0,False,False,,,,,,True,True,False,False,6.0233993e-09,-1.7561634,-41.756163,10.110895,10.110895,6.8422588e-06,,,,10.110895,445.2301,False,False,False
951869529,737581020,VISp,V1,0,4.5600209,0.034946632,200,5.7570645,9.3021339,1.3209877,24,65,10,200,False,True,50.683229,27.463659,5.7570645,9.3021339,5.004179,True,False,False,False,0.36022023,67.48652,10.72838,9.0396596,5.59198,0.74659159,,9.3021339,233.23247,9.0396596,220.15219,False,True,False
951869545,737581020,VISp,V1,0,1.862727,0.48978234,600,7.5132508,17.672798,1.5679012,12,60,5,600,False,True,44.368438,21.27318,7.5132509,17.672798,2.9976145,True,False,False,False,0.87163879,61.684078,4.3775124,14.655384,5.0216135,1.3802937,,17.672798,578.28048,14.655384,320.51312,True,True,False
951869562,737581020,VISp,V1,0.562,1.3272591,0.38600144,200,37.701442,34.128286,2.0617284,6,58.75,5,800,False,True,40.443603,16.955697,37.701442,34.128286,1.6417803,True,False,False,False,1.375978,58.465008,2.3258347,15.797102,20.936035,1.3737552,,37.701442,5603.7373,20.936035,1440.3804,False,True,False
951870525,737581020,VISp,V1,0.001,3.1511076,0.047125004,200,3.0184479,6.0755151,0.28395062,5,56.667,-3.333,300,False,True,36.259687,13.573128,3.0171498,6.0755152,1.0719512,True,False,False,False,0.16738523,53.844058,-4.0115998,4.8360704,2.5011209,0.48277679,,6.0755152,79.833526,4.8360704,52.678406,False,True,False
951870606,737581020,VISp,V1,0,4.6265707,0.047654498,100,5.95114,10.743046,1.6049383,25,70,10,300,False,True,50.572483,30.80155,5.95114,10.743046,5.7075966,True,False,False,False,0.42475882,70.919864,10.6142,10.368818,5.7757593,0.94661033,,10.743046,278.44083,10.368818,260.82167,False,True,False
951869501,737581020,VISp,V1,0,2.0048896,1.2824355,500,11.22302,14.238982,2.9876543,20,62,6,500,False,True,47.230532,21.612408,11.22302,14.238982,4.79663,True,False,False,False,1.029787,61.708618,7.1759257,12.727286,10.043315,1.3165343,,14.238982,695.97557,12.727286,556.69616,True,True,False
951869514,737581020,VISp,V1,0.006,2.5557192,0.099544952,0,5.6404916,2.7368488,0.2345679,4,60,10,100,False,True,49.971992,24.431663,5.6404927,2.678141,0.8086731,True,False,False,False,0.14097266,64.434637,9.9819435,2.6083627,5.3313603,0.3488574,,5.6404927,65.789382,5.3313603,60.563554,False,True,False
951870364,737581020,VISp,V1,,3.3263813,0.051890454,,,,0.098765432,3,60,5,200,False,False,58.75,-2.5,,27.5,,True,False,False,False,0.050629851,59.998688,3.9114695,2.0001392,3.0988116,0.21652417,,27.5,,3.0988116,26.993595,False,False,False
951870376,737581020,VISp,V1,0,1.8910444,1.2416644,600,15.180609,20.603895,39.320988,188,56.667,8.333,600,False,True,47.391913,17.776052,15.180609,20.603895,34.004403,True,False,False,False,19.781164,56.76746,8.3805835,14.627632,10.762009,12.521971,,20.603895,1362.2093,14.627632,685.60298,True,True,False
951870507,737581020,VISp,V1,,5.1425914,0.092661524,,,,0,0,,,0,False,False,,,,,,True,True,False,False,6.0233993e-09,-1.7561634,-41.756163,10.110895,10.110895,6.8422588e-06,,,,10.110895,445.2301,False,False,False
951869594,737581020,VISp,V1,0.409,2.0233153,0.52472898,300,30.183414,42.00967,1.0987654,5,60,5,600,False,True,40.334647,17.830269,30.183414,42.00967,1.2032204,True,False,False,False,0.98288852,63.572784,6.7840907,2.5774307,7.5790932,1.0044523,,42.00967,5522.3377,7.5790932,85.076491,False,True,False
