group,model,azimuth_deg,elevation_deg,halfmax_area_deg2,effective_local_units
V1,allen,28.75,-25,57267.497,3.0919128
V1,allen,30,-25,52306.383,3.2155071
V1,allen,31.25,-25,47523.738,3.35677
V1,allen,32.5,-25,42958.444,3.518283
V1,allen,33.75,-25,38642.992,3.7030943
V1,allen,35,-25,34602.895,3.9148133
V1,allen,36.25,-25,30856.41,4.1577239
V1,allen,37.5,-25,27414.558,4.4369224
V1,allen,38.75,-25,24281.459,4.7584821
V1,allen,40,-25,21454.918,5.1296489
V1,allen,41.25,-25,18927.239,5.5590706
V1,allen,42.5,-25,16686.186,6.0570573
V1,allen,43.75,-25,14716.035,6.6358643
V1,allen,45,-25,12998.648,7.3099732
V1,allen,46.25,-25,11514.506,8.0963144
V1,allen,47.5,-25,10243.672,9.0143226
V1,allen,48.75,-25,9166.6426,10.085613
V1,allen,50,-25,8265.0846,11.332895
V1,allen,51.25,-25,7522.4607,12.777468
V1,allen,52.5,-25,6924.5732,14.434247
V1,allen,53.75,-25,6460.0615,16.302838
V1,allen,55,-25,6120.9102,18.353141
V1,allen,56.25,-25,5903.0406,20.505247
V1,allen,57.5,-25,5807.0768,22.607975
V1,allen,58.75,-25,5839.4055,24.429441
V1,allen,60,-25,6013.6803,25.682565
V1,allen,61.25,-25,6352.9599,26.10281
V1,allen,62.5,-25,6892.7092,25.558081
V1,allen,63.75,-25,7684.9074,24.122275
V1,allen,65,-25,8803.4748,22.050096
V1,allen,66.25,-25,10351.066,19.669028
V1,allen,67.5,-25,12466.903,17.267382
V1,allen,68.75,-25,15334.638,15.03739
V1,allen,70,-25,19188.201,13.074513
V1,allen,71.25,-25,24312.382,11.404205
V1,allen,72.5,-25,31034.035,10.01158
V1,allen,73.75,-25,39700.076,8.8634249
V1,allen,75,-25,50640.819,7.9214447
V1,allen,76.25,-25,64121.732,7.149031
V1,allen,77.5,-25,80292.271,6.5140965
V1,allen,78.75,-25,99144.488,5.989812
V1,allen,80,-25,120493.89,5.5543558
V1,allen,81.25,-25,143989.8,5.190271
V1,allen,82.5,-25,169153.91,4.8837308
V1,allen,83.75,-25,195437.85,4.6238431
V1,allen,85,-25,222286.04,4.4020454
V1,allen,86.25,-25,249191.18,4.211602
V1,allen,87.5,-25,275733.73,4.0471974
V1,allen,88.75,-25,301602.56,3.9046139
V1,allen,90,-25,326598.32,3.7804805
V1,allen,10,-23.75,,2.7350912
V1,allen,11.25,-23.75,,2.7531021
V1,allen,12.5,-23.75,,2.7748217
V1,allen,13.75,-23.75,,2.800803
V1,allen,15,-23.75,,2.831638
V1,allen,16.25,-23.75,,2.8679673
V1,allen,17.5,-23.75,,2.9104911
V1,allen,18.75,-23.75,,2.9599826
V1,allen,20,-23.75,67302.651,3.0173037
V1,allen,21.25,-23.75,63529.815,3.0834232
V1,allen,22.5,-23.75,59659.488,3.159438
V1,allen,23.75,-23.75,55733.006,3.2465984
V1,allen,25,-23.75,51792.124,3.3463379
