stimulus_presentation_id,stimulus_block,start_time,stop_time,size,spatial_frequency,y_position,coherence,phase,stimulus_name,color,Dir,orientation,Speed,contrast,x_position,temporal_frequency,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
11,0.0,71.306205,71.556403,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-30.0,4.0,null,0.25019768,11,,,0,,False,0,train,2
12,0.0,71.556403,71.8066,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-10.0,4.0,null,0.25019768,12,,,0,,False,0,train,1
13,0.0,71.8066,72.05682,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-10.0,4.0,null,0.25021982,13,,,0,,False,0,train,0
14,0.0,72.05682,72.30704,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021982,14,,,0,,False,0,train,1
15,0.0,72.30704,72.55726,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25021982,15,,,0,,False,0,train,2
16,0.0,72.55726,72.80748,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-30.0,4.0,null,0.25021982,16,,,0,,False,0,train,2
17,0.0,72.80748,73.05768,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-20.0,4.0,null,0.25020018,17,,,0,,False,0,train,0
18,0.0,73.05768,73.30788,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25020018,18,,,0,,False,0,train,0
19,0.0,73.30788,73.55808,"[20.0, 20.0]",0.08,30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25020018,19,,,0,,False,0,train,0
20,0.0,73.55808,73.80828,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,30.0,4.0,null,0.25020018,20,,,0,,False,0,train,2
21,0.0,73.80828,74.05849,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25020982,21,,,0,,False,0,train,1
22,0.0,74.05849,74.3087,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25020982,22,,,0,,False,0,train,2
23,0.0,74.3087,74.55891,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-30.0,4.0,null,0.25020982,23,,,0,,False,0,train,0
24,0.0,74.55891,74.80912,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-30.0,4.0,null,0.25020982,11,,,0,,False,1,train,2
25,0.0,74.80912,75.059327,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-10.0,4.0,null,0.25020768,24,,,0,,False,0,train,0
26,0.0,75.059327,75.309535,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,20.0,4.0,null,0.25020768,25,,,0,,False,0,train,0
27,0.0,75.309535,75.559743,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25020768,26,,,0,,False,0,train,2
28,0.0,75.559743,75.80995,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-10.0,4.0,null,0.25020768,27,,,0,,False,0,train,1
29,0.0,75.80995,76.06016,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,10.0,4.0,null,0.25020982,28,,,0,,False,0,train,0
30,0.0,76.06016,76.31037,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-10.0,4.0,null,0.25020982,29,,,0,,False,0,train,2
31,0.0,76.31037,76.56058,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,40.0,4.0,null,0.25020982,30,,,0,,False,0,train,2
32,0.0,76.56058,76.81079,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25020982,31,,,0,,False,0,train,0
33,0.0,76.81079,77.060995,"[20.0, 20.0]",0.08,30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-10.0,4.0,null,0.25020518,32,,,0,,False,0,train,1
34,0.0,77.060995,77.3112,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,20.0,4.0,null,0.25020518,33,,,0,,False,0,train,1
35,0.0,77.3112,77.561405,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-40.0,4.0,null,0.25020518,34,,,0,,False,0,train,0
36,0.0,77.561405,77.81161,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25020518,35,,,0,,False,0,train,1
37,0.0,77.81161,78.061823,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021232,36,,,0,,False,0,train,1
38,0.0,78.061823,78.312035,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,30.0,4.0,null,0.25021232,37,,,0,,False,0,train,1
39,0.0,78.312035,78.562247,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,20.0,4.0,null,0.25021232,38,,,0,,False,0,train,1
40,0.0,78.562247,78.81246,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021232,39,,,0,,False,0,train,1
41,0.0,78.81246,79.062667,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,40.0,4.0,null,0.25020768,40,,,0,,False,0,train,0
42,0.0,79.062667,79.312875,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-20.0,4.0,null,0.25020768,41,,,0,,False,0,train,0
43,0.0,79.312875,79.563083,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25020768,42,,,0,,False,0,train,1
44,0.0,79.563083,79.81329,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-30.0,4.0,null,0.25020768,43,,,0,,False,0,train,0
45,0.0,79.81329,80.063508,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,40.0,4.0,null,0.25021732,44,,,0,,False,0,train,0
46,0.0,80.063508,80.313725,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,20.0,4.0,null,0.25021732,45,,,0,,False,0,train,2
47,0.0,80.313725,80.563942,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,40.0,4.0,null,0.25021732,46,,,0,,False,0,train,1
48,0.0,80.563942,80.81416,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,40.0,4.0,null,0.25021732,40,,,0,,False,1,train,0
49,0.0,80.81416,81.064357,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-10.0,4.0,null,0.25019768,47,,,0,,False,0,train,2
50,0.0,81.064357,81.314555,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,10.0,4.0,null,0.25019768,48,,,0,,False,0,train,2
51,0.0,81.314555,81.564753,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-30.0,4.0,null,0.25019768,49,,,0,,False,0,train,0
52,0.0,81.564753,81.81495,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,40.0,4.0,null,0.25019768,50,,,0,,False,0,train,1
53,0.0,81.81495,82.06517,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021982,51,,,0,,False,0,train,1
54,0.0,82.06517,82.31539,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-10.0,4.0,null,0.25021982,24,,,0,,False,1,train,0
55,0.0,82.31539,82.56561,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25021982,22,,,0,,False,1,train,2
56,0.0,82.56561,82.81583,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,40.0,4.0,null,0.25021982,52,,,0,,False,0,train,0
57,0.0,82.81583,83.06603,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25020018,53,,,0,,False,0,train,0
58,0.0,83.06603,83.31623,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-10.0,4.0,null,0.25020018,54,,,0,,False,0,train,1
59,0.0,83.31623,83.56643,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25020018,22,,,0,,False,2,test,2
60,0.0,83.56643,83.81663,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25020018,55,,,0,,False,0,train,1
61,0.0,83.81663,84.06685,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,0.0,4.0,null,0.25021982,56,,,0,,False,0,train,2
62,0.0,84.06685,84.31707,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,30.0,4.0,null,0.25021982,20,,,0,,False,1,train,2
63,0.0,84.31707,84.56729,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021982,57,,,0,,False,0,train,1
64,0.0,84.56729,84.81751,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,30.0,4.0,null,0.25021982,58,,,0,,False,0,train,1
65,0.0,84.81751,85.067707,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,10.0,4.0,null,0.25019768,59,,,0,,False,0,train,1
66,0.0,85.067707,85.317905,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,20.0,4.0,null,0.25019768,60,,,0,,False,0,train,1
67,0.0,85.317905,85.568103,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25019768,61,,,0,,False,0,train,2
68,0.0,85.568103,85.8183,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-10.0,4.0,null,0.25019768,47,,,0,,False,1,train,2
69,0.0,85.8183,86.068518,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021732,51,,,0,,False,1,train,1
70,0.0,86.068518,86.318735,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-20.0,4.0,null,0.25021732,62,,,0,,False,0,train,0
71,0.0,86.318735,86.568952,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-20.0,4.0,null,0.25021732,63,,,0,,False,0,train,2
72,0.0,86.568952,86.81917,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-30.0,4.0,null,0.25021732,64,,,0,,False,0,train,2
73,0.0,86.81917,87.06937,"[20.0, 20.0]",0.08,30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,10.0,4.0,null,0.25020018,65,,,0,,False,0,train,2
74,0.0,87.06937,87.31957,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,40.0,4.0,null,0.25020018,66,,,0,,False,0,train,2
75,0.0,87.31957,87.56977,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,20.0,4.0,null,0.25020018,67,,,0,,False,0,train,0
76,0.0,87.56977,87.81997,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25020018,21,,,0,,False,1,train,1
77,0.0,87.81997,88.07019,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-30.0,4.0,null,0.25021982,23,,,0,,False,1,train,0
78,0.0,88.07019,88.32041,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021982,68,,,0,,False,0,train,1
79,0.0,88.32041,88.57063,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-30.0,4.0,null,0.25021982,69,,,0,,False,0,train,0
80,0.0,88.57063,88.82085,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-30.0,4.0,null,0.25021982,70,,,0,,False,0,train,1
81,0.0,88.82085,89.071047,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,10.0,4.0,null,0.25019768,71,,,0,,False,0,train,1
82,0.0,89.071047,89.321245,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-10.0,4.0,null,0.25019768,29,,,0,,False,1,train,2
83,0.0,89.321245,89.571443,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25019768,72,,,0,,False,0,train,0
84,0.0,89.571443,89.82164,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-30.0,4.0,null,0.25019768,23,,,0,,False,2,test,0
85,0.0,89.82164,90.071863,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25022232,35,,,0,,False,1,train,1
86,0.0,90.071863,90.322085,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-10.0,4.0,null,0.25022232,73,,,0,,False,0,train,0
87,0.0,90.322085,90.572307,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-30.0,4.0,null,0.25022232,74,,,0,,False,0,train,2
88,0.0,90.572307,90.82253,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25022232,18,,,0,,False,1,train,0
89,0.0,90.82253,91.072725,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,0.0,4.0,null,0.25019518,75,,,0,,False,0,train,2
90,0.0,91.072725,91.32292,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25019518,26,,,0,,False,1,train,2
91,0.0,91.32292,91.573115,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-10.0,4.0,null,0.25019518,76,,,0,,False,0,train,2
92,0.0,91.573115,91.82331,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,20.0,4.0,null,0.25019518,77,,,0,,False,0,train,1
93,0.0,91.82331,92.073525,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-20.0,4.0,null,0.25021482,78,,,0,,False,0,train,1
94,0.0,92.073525,92.32374,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,30.0,4.0,null,0.25021482,79,,,0,,False,0,train,1
95,0.0,92.32374,92.573955,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-20.0,4.0,null,0.25021482,80,,,0,,False,0,train,0
96,0.0,92.573955,92.82417,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,40.0,4.0,null,0.25021482,50,,,0,,False,1,train,1
97,0.0,92.82417,93.074372,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,0.0,4.0,null,0.25020268,81,,,0,,False,0,train,1
98,0.0,93.074372,93.324575,"[20.0, 20.0]",0.08,30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,0.0,4.0,null,0.25020268,82,,,0,,False,0,train,2
99,0.0,93.324575,93.574778,"[20.0, 20.0]",0.08,30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,0.0,4.0,null,0.25020268,83,,,0,,False,0,train,1
100,0.0,93.574778,93.82498,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25020268,84,,,0,,False,0,train,0
101,0.0,93.82498,94.075198,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-10.0,4.0,null,0.25021732,85,,,0,,False,0,train,0
102,0.0,94.075198,94.325415,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25021732,86,,,0,,False,0,train,1
103,0.0,94.325415,94.575632,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-20.0,4.0,null,0.25021732,62,,,0,,False,1,train,0
104,0.0,94.575632,94.82585,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,10.0,4.0,null,0.25021732,28,,,0,,False,1,train,0
105,0.0,94.82585,95.076052,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25020268,72,,,0,,False,1,train,0
106,0.0,95.076052,95.326255,"[20.0, 20.0]",0.08,10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-40.0,4.0,null,0.25020268,87,,,0,,False,0,train,1
107,0.0,95.326255,95.576458,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,0.0,4.0,null,0.25020268,88,,,0,,False,0,train,2
108,0.0,95.576458,95.82666,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-10.0,4.0,null,0.25020268,89,,,0,,False,0,train,2
109,0.0,95.82666,96.076875,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,0.0,4.0,null,0.25021482,90,,,0,,False,0,train,1
110,0.0,96.076875,96.32709,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,40.0,4.0,null,0.25021482,91,,,0,,False,0,train,2
111,0.0,96.32709,96.577305,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,40.0,4.0,null,0.25021482,92,,,0,,False,0,train,2
112,0.0,96.577305,96.82752,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-30.0,4.0,null,0.25021482,64,,,0,,False,1,train,2
113,0.0,96.82752,97.077722,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,0.0,4.0,null,0.25020268,5,,,0,,False,1,train,0
114,0.0,97.077722,97.327925,"[20.0, 20.0]",0.08,40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,10.0,4.0,null,0.25020268,93,,,0,,False,0,train,2
115,0.0,97.327925,97.578128,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-10.0,4.0,null,0.25020268,2,,,0,,False,1,train,1
116,0.0,97.578128,97.82833,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25020268,61,,,0,,False,1,train,2
117,0.0,97.82833,98.07855,"[20.0, 20.0]",0.08,-10.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,30.0,4.0,null,0.25021982,4,,,0,,False,1,train,2
118,0.0,98.07855,98.32877,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,0.0,4.0,null,0.25021982,94,,,0,,False,0,train,2
119,0.0,98.32877,98.57899,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-20.0,4.0,null,0.25021982,95,,,0,,False,0,train,0
120,0.0,98.57899,98.82921,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,30.0,4.0,null,0.25021982,20,,,0,,False,2,test,2
121,0.0,98.82921,99.079407,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-40.0,4.0,null,0.25019768,22,,,0,,False,3,train,2
122,0.0,99.079407,99.329605,"[20.0, 20.0]",0.08,20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,-40.0,4.0,null,0.25019768,96,,,0,,False,0,train,0
123,0.0,99.329605,99.579803,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,-10.0,4.0,null,0.25019768,97,,,0,,False,0,train,1
124,0.0,99.579803,99.83,"[20.0, 20.0]",0.08,-30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,0.0,4.0,null,0.25019768,98,,,0,,False,0,train,1
125,0.0,99.83,100.08022,"[20.0, 20.0]",0.08,30.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,null,0.8,20.0,4.0,null,0.25022232,99,,,0,,False,0,train,0
126,0.0,100.08022,100.33045,"[20.0, 20.0]",0.08,-40.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,45.0,null,0.8,20.0,4.0,null,0.25022232,77,,,0,,False,1,train,1
127,0.0,100.33045,100.58067,"[20.0, 20.0]",0.08,0.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,-20.0,4.0,null,0.25022232,100,,,0,,False,0,train,2
128,0.0,100.58067,100.83089,"[20.0, 20.0]",0.08,-20.0,null,"[3644.93333333, 3644.93333333]",gabors,null,null,90.0,null,0.8,30.0,4.0,null,0.25022232,101,,,0,,False,0,train,2
