stimulus_presentation_id,stimulus_block,start_time,stop_time,spatial_frequency,stimulus_name,Speed,temporal_frequency,phase,orientation,y_position,x_position,size,Dir,color,coherence,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
29,0.0,82.253717,82.503933,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,40.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,28,,,0,,False,0,train,0
30,0.0,82.503933,82.75415,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,10,,,0,,False,1,train,0
31,0.0,82.75415,83.004366,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,0.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,29,,,0,,False,0,train,0
32,0.0,83.004366,83.254582,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,30.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,30,,,0,,False,0,train,2
33,0.0,83.254582,83.504783,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,10.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,15,,,0,,False,1,train,0
34,0.0,83.504783,83.754985,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,20.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,31,,,0,,False,0,train,1
35,0.0,83.754985,84.005186,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,32,,,0,,False,0,train,2
36,0.0,84.005186,84.255387,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-30.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,33,,,0,,False,0,train,0
37,0.0,84.255387,84.505601,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-30.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,34,,,0,,False,0,train,1
38,0.0,84.505601,84.755815,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-20.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,35,,,0,,False,0,train,2
39,0.0,84.755815,85.006028,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-20.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,26,,,0,,False,1,train,2
40,0.0,85.006028,85.256242,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-20.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,36,,,0,,False,0,train,2
41,0.0,85.256242,85.506446,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,30.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,37,,,0,,False,0,train,1
42,0.0,85.506446,85.75665,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-20.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,38,,,0,,False,0,train,2
43,0.0,85.75665,86.006853,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-30.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,39,,,0,,False,0,train,0
44,0.0,86.006853,86.257057,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,10.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,15,,,0,,False,2,test,0
45,0.0,86.257057,86.507273,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-40.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,40,,,0,,False,0,train,2
46,0.0,86.507273,86.75749,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-10.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,11,,,0,,False,1,train,2
47,0.0,86.75749,87.007706,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,41,,,0,,False,0,train,2
48,0.0,87.007706,87.257922,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,10.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,42,,,0,,False,0,train,0
49,0.0,87.257922,87.508123,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-30.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,43,,,0,,False,0,train,2
50,0.0,87.508123,87.758325,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-20.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,44,,,0,,False,0,train,0
51,0.0,87.758325,88.008526,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-40.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,45,,,0,,False,0,train,1
52,0.0,88.008526,88.258727,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,0.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,46,,,0,,False,0,train,0
53,0.0,88.258727,88.508936,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-30.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,47,,,0,,False,0,train,2
54,0.0,88.508936,88.759145,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,40.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,18,,,0,,False,1,train,1
55,0.0,88.759145,89.009353,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,0.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,7,,,0,,False,1,train,1
56,0.0,89.009353,89.259562,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-10.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,48,,,0,,False,0,train,1
57,0.0,89.259562,89.509771,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-20.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,49,,,0,,False,0,train,1
58,0.0,89.509771,89.75998,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,10,,,0,,False,2,test,0
59,0.0,89.75998,90.010188,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-30.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,50,,,0,,False,0,train,2
60,0.0,90.010188,90.260397,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-20.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,51,,,0,,False,0,train,0
61,0.0,90.260397,90.510628,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,30.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25023118,52,,,0,,False,0,train,1
62,0.0,90.510628,90.76086,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-10.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25023118,53,,,0,,False,0,train,0
63,0.0,90.76086,91.011091,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,10.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25023118,17,,,0,,False,1,train,0
64,0.0,91.011091,91.261322,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,30.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25023118,54,,,0,,False,0,train,1
65,0.0,91.261322,91.511511,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,30.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25018882,55,,,0,,False,0,train,2
66,0.0,91.511511,91.7617,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-10.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25018882,48,,,0,,False,1,train,1
67,0.0,91.7617,92.011888,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,30.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25018882,56,,,0,,False,0,train,1
68,0.0,92.011888,92.262077,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,30.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25018882,57,,,0,,False,0,train,1
69,0.0,92.262077,92.512286,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,30.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,57,,,0,,False,1,train,1
70,0.0,92.512286,92.762495,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,10,,,0,,False,3,train,0
71,0.0,92.762495,93.012703,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-30.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,58,,,0,,False,0,train,1
72,0.0,93.012703,93.262912,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,59,,,0,,False,0,train,2
73,0.0,93.262912,93.513118,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-10.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,60,,,0,,False,0,train,0
74,0.0,93.513118,93.763325,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,10.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,61,,,0,,False,0,train,1
75,0.0,93.763325,94.013531,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-40.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,62,,,0,,False,0,train,1
76,0.0,94.013531,94.263737,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,20.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,63,,,0,,False,0,train,1
77,0.0,94.263737,94.513943,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,10.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020618,64,,,0,,False,0,train,1
78,0.0,94.513943,94.76415,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,40.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020618,65,,,0,,False,0,train,1
79,0.0,94.76415,95.014356,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-20.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020618,66,,,0,,False,0,train,1
80,0.0,95.014356,95.264562,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-20.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020618,67,,,0,,False,0,train,2
81,0.0,95.264562,95.514773,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-40.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021132,68,,,0,,False,0,train,2
82,0.0,95.514773,95.764985,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-30.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021132,69,,,0,,False,0,train,1
83,0.0,95.764985,96.015196,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,30.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021132,70,,,0,,False,0,train,0
84,0.0,96.015196,96.265407,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021132,71,,,0,,False,0,train,0
85,0.0,96.265407,96.515623,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-40.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,68,,,0,,False,1,train,2
86,0.0,96.515623,96.76584,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,40.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,28,,,0,,False,1,train,0
87,0.0,96.76584,97.016056,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,0.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,72,,,0,,False,0,train,1
88,0.0,97.016056,97.266272,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,10.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,61,,,0,,False,1,train,1
89,0.0,97.266272,97.516473,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,20.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,73,,,0,,False,0,train,2
90,0.0,97.516473,97.766675,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-20.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,74,,,0,,False,0,train,1
91,0.0,97.766675,98.016876,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-40.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,75,,,0,,False,0,train,0
92,0.0,98.016876,98.267077,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,40.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,76,,,0,,False,0,train,0
93,0.0,98.267077,98.517293,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,25,,,0,,False,1,train,0
94,0.0,98.517293,98.76751,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,10.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,23,,,0,,False,1,train,1
95,0.0,98.76751,99.017726,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,41,,,0,,False,1,train,2
96,0.0,99.017726,99.267942,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,30.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,77,,,0,,False,0,train,2
97,0.0,99.267942,99.518146,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-20.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,78,,,0,,False,0,train,2
98,0.0,99.518146,99.76835,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-10.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,79,,,0,,False,0,train,0
99,0.0,99.76835,100.01855,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,80,,,0,,False,0,train,2
100,0.0,100.01855,100.26876,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,10.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020382,81,,,0,,False,0,train,2
101,0.0,100.26876,100.51897,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-30.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,82,,,0,,False,0,train,1
102,0.0,100.51897,100.76917,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,80,,,0,,False,1,train,2
103,0.0,100.76917,101.01938,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,30.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,83,,,0,,False,0,train,2
104,0.0,101.01938,101.26959,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,40.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020868,76,,,0,,False,1,train,0
105,0.0,101.26959,101.5198,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,40.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,84,,,0,,False,0,train,1
106,0.0,101.5198,101.77,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-10.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,85,,,0,,False,0,train,1
107,0.0,101.77,102.02021,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-10.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,86,,,0,,False,0,train,0
108,0.0,102.02021,102.27042,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,87,,,0,,False,0,train,0
109,0.0,102.27042,102.52063,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,30.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021118,88,,,0,,False,0,train,0
110,0.0,102.52063,102.77084,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,0.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021118,29,,,0,,False,1,train,0
111,0.0,102.77084,103.02105,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021118,25,,,0,,False,2,test,0
112,0.0,103.02105,103.27126,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-10.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021118,89,,,0,,False,0,train,1
113,0.0,103.27126,103.52147,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,30.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,77,,,0,,False,1,train,2
114,0.0,103.52147,103.77168,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,10.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,90,,,0,,False,0,train,2
115,0.0,103.77168,104.02189,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,40.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,91,,,0,,False,0,train,1
116,0.0,104.02189,104.2721,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-10.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020882,79,,,0,,False,1,train,0
117,0.0,104.2721,104.52231,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,92,,,0,,False,0,train,2
118,0.0,104.52231,104.77253,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,93,,,0,,False,0,train,2
119,0.0,104.77253,105.02275,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-40.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,94,,,0,,False,0,train,1
120,0.0,105.02275,105.27296,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,40.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,95,,,0,,False,0,train,0
121,0.0,105.27296,105.52316,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-20.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,96,,,0,,False,0,train,1
122,0.0,105.52316,105.77336,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,30.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,77,,,0,,False,2,test,2
123,0.0,105.77336,106.02357,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-40.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,2,,,0,,False,1,train,0
124,0.0,106.02357,106.27377,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-20.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020132,66,,,0,,False,1,train,1
125,0.0,106.27377,106.52399,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,-40.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25022118,62,,,0,,False,1,train,1
126,0.0,106.52399,106.77421,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-40.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25022118,97,,,0,,False,0,train,0
127,0.0,106.77421,107.02443,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-40.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25022118,98,,,0,,False,0,train,2
128,0.0,107.02443,107.27465,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-30.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25022118,50,,,0,,False,1,train,2
129,0.0,107.27465,107.52485,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,0.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25019632,99,,,0,,False,0,train,1
