site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,rf_area_deg2
site2,B,2001164,273.74693524976436,348.3871956472352,73.35827784321087,21.08974458829853,60.25483646972656,21.217819781036376,10.549411388703007,1498.612202724263
site2,B,2001166,274.78385927961597,348.13790236117245,73.63387565621039,20.82446982919485,37.81074646972656,29.634459781036377,7.350038377151847,163.1481001441372
site2,B,2001167,274.4270765736925,348.2236786867368,73.53897600231578,20.91306108506725,67.51709646972657,19.166179781036377,9.889790358410874,948.6883091115803
site2,B,2001184,277.0178320395812,347.60081922463235,74.27382802675692,20.380622304586442,44.84209146972656,1.9757857810363775,9.296158400525208,628.669691087057
site2,B,2001187,276.8476023825066,347.64174518388853,74.22311864188859,20.411127952701236,75.78899646972656,32.46652978103638,9.82996181431287,910.1508150496865
site2,B,2001189,277.92805545708967,347.38198681235383,74.54871284124029,20.229453976411083,64.18425646972656,27.71229978103638,7.661788487971005,202.5014583975256
site2,B,2001213,284.6291964326152,345.7709242792598,76.02279797642832,18.298779878952175,69.81078646972657,17.52882978103638,6.921676069900736,121.23614467916943
site2,B,2001218,285.41505115089103,345.5819921111867,76.16485449694575,18.015690453783265,70.07364646972655,22.64149978103638,6.7743238650120485,109.46484935149762
site2,B,2001227,284.8709380917485,345.7128056795855,76.06585456990055,18.210277985025535,63.921546469726565,13.767729781036378,7.080720797561829,135.36592365975403
site2,B,2001229,283.7376283199916,345.9852716549075,75.8627050736169,18.626557266599423,29.33661646972656,33.11393978103638,7.125140031917366,139.59853893869663
site2,B,2001261,295.70267449053614,343.10868128581853,78.40711914233765,14.898559644566152,66.95145646972657,19.428629781036378,7.610443140720043,195.42119544362313
site2,B,2001265,296.4893065131822,342.9195622412191,78.5336670708765,14.63721837135591,80.19990646972656,20.673099781036377,7.560606619613303,188.78582316201428
site2,B,2001294,298.04702447107024,342.5450616825461,78.76172641632894,14.142025479189906,75.60139646972657,-0.17759121896362262,8.79291264117841,443.53761234315516
site2,B,2001300,300.28877027473754,342.00610978074315,79.00833908661244,13.606248324635201,71.19974646972656,16.30613978103638,8.498379914797773,361.63234611511666
site2,B,2001301,300.84998403002453,341.8711849287661,79.08081887619744,13.516613687488157,77.55436646972656,14.62542978103638,8.69103798786799,413.29783262427395
site2,B,2001302,298.9999996289399,342.315951061322,78.87115904620674,13.87784193811164,76.11871646972656,10.617979781036377,8.28848811183442,312.6680753846725
site2,B,2001303,298.94170180117464,342.3299668007933,78.86436840653667,13.894133955879859,75.49348646972656,15.284999781036378,7.950319067016518,247.33439473079778
site2,B,2001306,300.301984449031,342.00293287979633,79.0098228292631,13.604090513501372,73.37497646972656,13.627949781036378,8.772889039928717,437.4241430245289
site2,B,2001316,302.02682284651286,341.58825386797224,79.25510399863322,13.383007943375762,75.56156646972656,14.789099781036379,8.44281602702524,347.96925393814655
site2,B,2001319,302.90439948047276,341.37727026979763,79.40212480472802,13.318767200505906,70.96938646972656,7.799926781036378,8.080028124760217,270.60189360749513
site2,C,2001839,287.95361542220166,108.2491455528612,36.826972070418186,-1.7768229306265895,34.531346469726564,36.96021978103638,9.79054649619126,885.6215367977323
site2,C,2001845,287.9999968587671,108.34890327581462,36.82619571795206,-1.7725375048951473,9.854946469726563,33.718649781036376,7.897404363552235,238.42709168143563
site2,C,2001917,291.51071482648723,115.89979553628949,37.01861373136008,-1.5762032147337122,26.499926469726564,-6.504504218963622,10.07246801863767,1076.7503062974088
site2,C,2001937,292.14471338630824,117.26340687235289,37.157496354681435,-1.5604292875686903,13.992366469726562,24.930789781036374,7.771946914712185,218.5692922785282
site2,C,2001990,295.0472993645996,123.50632191148839,38.911395822416964,-1.4004381534804144,38.62589546972656,36.81153978103638,6.927437053022916,121.72123385518343
site2,C,2001996,295.74177218209627,125.00000197094107,39.58358837056351,-1.3606667203450087,34.21391646972656,1.7207947810363775,9.333239945190103,645.0378217817843
site2,C,2001998,295.8901927791056,125.31922668439204,39.7344264834447,-1.3491417195143491,42.61340746972656,37.58427978103638,8.488010178442998,359.04234125634844
site2,C,2002002,295.9747497057671,125.50109268700714,39.82053137950781,-1.3407875496650685,55.72655246972656,29.069879781036377,9.319056180138805,638.7272450803111
site2,C,2002015,296.28746762230236,126.17368994984312,40.13420610393067,-1.3335844125028646,22.892026469726563,13.503639781036377,9.774912780154525,876.0763404602686
site2,C,2002029,297.25434218455047,128.2532547898723,41.080457887747556,-1.2773593673704218,22.75692646972656,26.130479781036378,8.906224315466062,479.77837268397377
site2,C,2002033,297.28038714508335,128.30927258814614,41.104945985701114,-1.2765437555116999,24.19799646972656,20.879379781036377,7.512889765982698,182.64390067080654
site2,C,2002042,298.00393755550374,129.86549306621964,41.80232892843851,-1.218718204133686,31.447676469726563,32.533589781036376,7.187606005186979,145.775656041873
site2,C,2002045,297.8826322598711,129.60458825234142,41.68346927498581,-1.232901686938541,34.73625646972656,35.768009781036376,6.459330151749252,87.99381104675322
site2,C,2002054,298.25332697211314,130.4018826688692,42.05128946723664,-1.213822805743646,24.122036469726563,32.71071978103638,7.824434559742806,226.66762888219122
