ecephys_session_id,component,target_subset,shift_azimuth_deg,shift_elevation_deg,minimum_loss,at_bound,basin_grid_points_delta_005,physical_half_vector_difference_deg
715093703,shank_residual_trace,physical_half_0,12.0,30.0,0.0987436791023089,True,79,19.79898987322333
715093703,shank_residual_trace,physical_half_1,-2.0,16.0,0.8938733101506994,False,61,19.79898987322333
760345702,raw_covariance_trace,full,12.0,2.0,0.5895955607570128,False,97,2.0
760345702,raw_covariance_trace,physical_half_0,10.0,2.0,0.9306678433663303,False,93,2.0
760345702,raw_covariance_trace,physical_half_1,12.0,2.0,0.36317277365638223,False,99,2.0
760345702,shank_predicted_trace,full,-18.0,-30.0,0.90859949481107,True,42,2.0
760345702,shank_predicted_trace,physical_half_0,-20.0,-30.0,1.3414600282984719,True,27,2.0
760345702,shank_predicted_trace,physical_half_1,-18.0,-30.0,0.6337361112040651,True,217,2.0
760345702,shank_residual_trace,full,28.0,4.0,0.23930918049605204,False,89,21.633307652783937
760345702,shank_residual_trace,physical_half_0,30.0,0.0,0.1693755875077367,True,57,21.633307652783937
760345702,shank_residual_trace,physical_half_1,18.0,18.0,0.22649972000539081,False,86,21.633307652783937
719161530,raw_covariance_trace,full,-24.0,0.0,0.4740020277113794,False,95,10.198039027185569
719161530,raw_covariance_trace,physical_half_0,-22.0,-2.0,0.8026084171425201,False,84,10.198039027185569
719161530,raw_covariance_trace,physical_half_1,-24.0,8.0,0.28213080812342217,False,112,10.198039027185569
719161530,shank_predicted_trace,full,-12.0,-6.0,0.6792913026545165,False,535,6.0
719161530,shank_predicted_trace,physical_half_0,-12.0,-6.0,1.2362608053953221,False,537,6.0
719161530,shank_predicted_trace,physical_half_1,-12.0,0.0,0.26632038958149185,False,560,6.0
719161530,shank_residual_trace,full,-30.0,14.0,0.3659863969513211,True,28,30.0
719161530,shank_residual_trace,physical_half_0,-30.0,-16.0,0.20377454023386374,True,120,30.0
719161530,shank_residual_trace,physical_half_1,-30.0,14.0,0.5758894230293091,True,12,30.0
759883607,raw_covariance_trace,full,20.0,-10.0,0.616735849575762,False,53,4.47213595499958
759883607,raw_covariance_trace,physical_half_0,14.0,-2.0,1.3196371973163696,False,89,4.47213595499958
759883607,raw_covariance_trace,physical_half_1,16.0,-6.0,0.15149344399376985,False,143,4.47213595499958
759883607,shank_predicted_trace,full,-10.0,-30.0,0.4717843369067774,True,402,6.0
759883607,shank_predicted_trace,physical_half_0,-14.0,-30.0,1.1850698870611207,True,133,6.0
759883607,shank_predicted_trace,physical_half_1,-8.0,-30.0,0.32914689148018794,True,544,6.0
759883607,shank_residual_trace,full,20.0,-10.0,0.8467499615000187,False,22,22.627416997969522
759883607,shank_residual_trace,physical_half_0,12.0,-8.0,1.4480639717206514,False,54,22.627416997969522
759883607,shank_residual_trace,physical_half_1,28.0,8.0,0.0628315661761935,False,56,22.627416997969522
835479236,raw_covariance_trace,full,-30.0,30.0,1.3704597806925471,True,4,80.72174428244226
835479236,raw_covariance_trace,physical_half_0,-30.0,28.0,1.0897478637134985,True,7,80.72174428244226
835479236,raw_covariance_trace,physical_half_1,30.0,-26.0,1.1415085896866524,True,13,80.72174428244226
835479236,shank_predicted_trace,full,-10.0,28.0,2.287814560914502,False,23,2.8284271247461903
835479236,shank_predicted_trace,physical_half_0,-8.0,28.0,1.6844303574648751,False,9,2.8284271247461903
835479236,shank_predicted_trace,physical_half_1,-10.0,30.0,2.2257767694139883,True,20,2.8284271247461903
835479236,shank_residual_trace,full,-30.0,-6.0,0.39916690216349526,True,17,51.61395160225576
835479236,shank_residual_trace,physical_half_0,16.0,24.0,0.5712729252446439,False,7,51.61395160225576
835479236,shank_residual_trace,physical_half_1,-26.0,-6.0,0.3899242627592727,False,56,51.61395160225576
