unit_id,site,site_number,subject_id,probe,pilot_qc,default_qc,rf_baseline_spikes,rf_amplitude_spikes,rf_center_x_deg,rf_center_y_deg,rf_sigma_major_deg,rf_sigma_minor_deg,rf_theta_deg,rf_deviance,rf_null_deviance,rf_pseudo_r2,rf_lrt_p,rf_fit_success,rf_fit_evaluations,rf_center_on_screen,rf_split_half_r,rf_split_half_spearman_brown,rf_reliability_p,rf_presentations,rf_position_cells,rf_lrt_q,rf_reliability_q,rf_model_supported,supported_rf_center_x_deg,supported_rf_center_y_deg,azimuth_deg,elevation_deg,rf_area_deg2,log2_rf_area,inferred_row,inferred_col
2000581,site2,2,816305,A,True,True,0.9197933,2.532869,-7.085038,0.013476,26.87311,5.383644,-15.41297,512.92,1443.652,0.6447067,8.521682e-198,True,14,True,0.8333052,0.9090742,2.4619720000000003e-22,4860,81,8.016384e-197,1.7792839999999998e-21,True,-7.085038,0.013476,40.743758469726565,-1.5120442189636225,454.51072584439044,8.82817053026655,237,226
2000582,site2,2,816305,A,True,True,0.8025432,0.7044914,-18.55156,-0.8635827,22.55063,17.63447,-3.250927,274.5411,447.908,0.3870591,8.684013e-35,True,18,True,0.5698083,0.7259591,1.41272e-08,4860,81,3.089863e-34,4.941437e-08,True,-18.55156,-0.8635827,29.277236469726564,-2.389102918963623,1249.312149816447,10.286918274600362,230,211
2000583,site2,2,816305,A,True,True,0.6235987,0.9300265,-21.9177,-13.14556,13.88187,10.04684,25.45581,130.7999,343.7618,0.6195041,3.293031e-43,True,15,True,0.6392053,0.7798965,6.720898e-11,4860,81,1.282788e-42,2.680551e-10,True,-21.9177,-13.14556,25.911096469726562,-14.671080218963622,438.15455581002993,8.775296049485446,197,212
2000598,site2,2,816305,A,True,True,0.8255385,1.88254,-15.8628,-20.79322,14.68286,8.60067,-6.619447,141.5376,686.2752,0.7937597,1.924043e-114,True,13,True,0.772848,0.8718717,1.432561e-17,4860,81,1.261784e-113,8.147799000000001e-17,True,-15.8628,-20.79322,31.965996469726562,-22.318740218963626,396.7279654119354,8.632006286625451,179,222
2000600,site2,2,816305,A,True,True,0.3873518,0.7796534,-17.4692,-19.5314,11.35249,10.55443,-71.42211,139.4254,339.4578,0.5892703,1.867712e-40,True,12,True,0.6383545,0.779263,7.235527e-11,4860,81,7.074933e-40,2.883411e-10,True,-17.4692,-19.5314,30.35959646972656,-21.056920218963626,376.4226818940742,8.556209752140301,182,219
2000602,site2,2,816305,A,True,True,1.250336,1.891371,-13.7408,-2.909281,33.24033,6.796561,-7.939961,411.5996,1006.556,0.5910813,2.855193e-125,True,13,True,0.8394147,0.9126976,6.379021000000001e-23,4860,81,1.9833689999999997e-124,4.738419e-22,True,-13.7408,-2.909281,34.08799646972656,-4.434801218963623,709.7483939744329,9.47116386918372,226,220
2000613,site2,2,816305,A,True,True,0.02112308,0.04946808,-6.077589,-7.398055,42.68138,10.78495,30.31509,194.851,222.2567,0.1233067,0.0001215341,True,32,True,0.2733627,0.4293555,0.006769801,4860,81,0.0002027818,0.01502802,True,-6.077589,-7.398055,41.751207469726566,-8.923575218963624,1446.1270893899139,10.497978630295275,217,231
2000617,site2,2,816305,A,True,True,0.03290814,0.468047,-6.802084,-17.51438,8.180311,6.79415,-19.1975,88.84143,284.4002,0.6876183,1.672237e-39,True,21,True,0.6398757,0.7803953,6.340256e-11,4860,81,6.294788000000001e-39,2.535047e-10,True,-6.802084,-17.51438,41.02671246972656,-19.039900218963624,174.60425325451365,7.447944892352945,190,233
2000619,site2,2,816305,A,True,True,0.01732987,0.4656485,-12.50086,-14.97024,7.201039,5.773181,1.087968,82.78525,277.2964,0.7014557,2.7936970000000003e-39,True,24,True,0.4987598,0.6655634,1.074298e-06,4860,81,1.0499849999999999e-38,3.365761e-06,True,-12.50086,-14.97024,35.327936469726566,-16.495760218963625,130.60512205095318,7.029067667153756,194,226
2000632,site2,2,816305,A,True,True,0.2066874,1.265658,-8.089644,-13.74011,21.05538,13.93671,-14.11193,444.4022,1387.296,0.6796629,1.999686e-200,True,9,True,0.7551563,0.8605003,1.906875e-16,4860,81,1.895955e-199,1.020539e-15,True,-8.089644,-13.74011,39.73915246972656,-15.265630218963622,921.8775091087416,9.848431260666707,199,231
2000638,site2,2,816305,A,True,True,4.871976,3.084672,-5.095964,-17.92893,32.15411,22.07658,-8.113271,497.0633,1121.047,0.5566081,1.561821e-131,True,19,True,0.7055636,0.8273671,9.569302e-14,4860,81,1.125588e-130,4.422122e-13,True,-5.095964,-17.92893,42.73283246972656,-19.454450218963622,2230.068284256601,11.122872170525211,189,235
2000649,site2,2,816305,A,True,True,1.092843,0.7238374,-6.570822,-15.98809,38.87839,24.68524,-10.51049,477.1936,617.493,0.2272082,8.664859000000001e-28,True,19,True,0.4441883,0.615139,1.634223e-05,4860,81,2.786085e-27,4.694606e-05,True,-6.570822,-15.98809,41.25797446972656,-17.51361021896362,3015.056803512099,11.557969467342419,193,233
2000754,site2,2,816305,B,True,True,1.034924,0.3084994,-9.727954,-4.400739,26.87931,10.84682,-61.19324,73.17101,100.8511,0.2744649,0.0001079329,True,19,True,0.2736717,0.4297366,0.006715075,4860,81,0.0001809043,0.01492722,True,-9.727954,-4.400739,38.10084246972656,-5.926259218963622,915.9471632805569,9.839120568149703,225,225
2001004,site2,2,816305,B,True,True,0.00857287,0.510308,5.167839,35.54208,6.888006,6.492463,-23.06529,115.4006,405.0006,0.7150605,1.382559e-59,True,23,True,0.8388086,0.9123392,7.311813e-23,4860,81,6.329484e-59,5.406242e-22,True,5.167839,35.54208,52.99663546972656,34.01655978103638,140.49241333634484,7.134348416039066,327,212
2001012,site2,2,816305,B,True,True,0.05586694,0.7959681,17.34691,38.76681,7.687855,3.492399,15.55335,190.1909,406.3416,0.5319432,6.885637999999999e-44,True,120,True,0.5206757,0.6847952,3.133723e-07,4860,81,2.699777e-43,1.016926e-06,True,17.34691,38.76681,65.17570646972656,37.24128978103638,84.34880058561069,6.398295648859667,342,232
2001039,site2,2,816305,B,True,True,0.3102055,0.9644484,19.71584,20.53683,9.789484,6.634806,-2.802205,191.4459,396.7884,0.5175114,1.382823e-41,True,11,True,0.6396271,0.7802105,6.478894e-11,4860,81,5.29238e-41,2.588326e-10,True,19.71584,20.53683,67.54463646972656,19.011309781036374,204.05061230992177,7.672783229580061,293,245
2001047,site2,2,816305,B,True,True,0.2713809,8.888343,12.31116,36.64087,9.627515,5.102951,4.300077,143.486,4686.906,0.9693858,0.0,True,12,True,0.9538999,0.9764061,2.3852960000000003e-43,4860,81,0.0,5.40742e-42,True,12.31116,36.64087,60.13995646972656,35.11534978103638,154.3424801716598,7.269991383882042,342,223
2001051,site2,2,816305,B,True,True,0.3314657,1.687361,11.22403,27.47722,8.166298,5.261674,-32.51824,276.941,622.9174,0.5554129,1.127735e-71,True,32,True,0.5042479,0.6704319,7.95449e-07,4860,81,5.700338e-71,2.525051e-06,True,11.22403,27.47722,59.05282646972656,25.951699781036375,134.9892030624592,7.076700209560676,308,227
2001057,site2,2,816305,B,True,True,1.029607,14.10842,12.78568,33.84762,13.08976,10.06413,-0.7794295,180.1164,10983.99,0.9836019,0.0,True,7,True,0.9900693,0.9950099,2.192579e-69,4860,81,0.0,6.585959e-67,True,12.78568,33.84762,60.61447646972656,32.32209978103638,413.8641368893445,8.693013428017837,327,224
2001068,site2,2,816305,B,True,True,0.07534753,1.410025,13.68936,37.09613,7.506854,6.439533,-78.06955,156.1954,735.7528,0.7877066,5.981632e-122,True,10,True,0.7712301,0.8708412,1.832627e-17,4860,81,4.090143000000001e-121,1.036189e-16,True,13.68936,37.09613,61.51815646972656,35.57060978103638,151.8665808301987,7.24666062067456,344,226
2001072,site2,2,816305,B,True,True,0.01790799,1.763172,16.31409,30.6817,7.257749,5.938508,58.88561,121.6307,1199.79,0.8986233,1.1081e-229,True,14,True,0.8882004,0.9407904,1.042507e-28,4860,81,1.150461e-228,1.0774820000000001e-27,True,16.31409,30.6817,64.14288646972656,29.15617978103638,135.4032732543096,7.081118804985129,321,231
2001075,site2,2,816305,B,True,True,0.01408683,0.1782596,11.15778,38.54021,7.805596,5.313834,-53.9552,115.0458,168.7891,0.318405,8.310828e-10,True,23,True,0.246934,0.3960659,0.0131281,4860,81,1.859011e-09,0.02789286,True,11.15778,38.54021,58.986576469726565,37.01468978103638,130.3058535577968,7.025758083420778,346,220
2001084,site2,2,816305,B,True,True,0.2444349,2.726956,16.88426,31.9986,7.622378,5.760839,76.44447,161.8546,1020.374,0.8413772,3.4780100000000004e-182,True,14,True,0.8654788,0.9278892,9.888706e-26,4860,81,3.084649e-181,8.672467e-25,True,16.88426,31.9986,64.71305646972657,30.473079781036375,137.95139378670703,7.108016222754509,325,231
2001104,site2,2,816305,B,True,True,2.641986,0.9761224,32.87733,8.314883,47.80757,11.00862,5.186099,282.8422,405.0237,0.3016649,5.672523e-24,True,19,True,0.8016971,0.8899355,1.223798e-19,4860,81,1.72472e-23,7.589126e-19,True,32.87733,8.314883,80.70612646972657,6.7893627810363775,1653.4056719479943,10.69122502568873,267,272
