stimulus_presentation_id,stimulus_block,start_time,stop_time,color,phase,y_position,contrast,temporal_frequency,size,orientation,spatial_frequency,frame,stimulus_name,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1599,0.0,484.40776,484.65797,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-20.0,0.25021041,135,,,0,,False,6,train,1
1600,0.0,484.65797,484.90818,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,0.0,0.25021041,125,,,0,,False,4,train,1
1601,0.0,484.90818,485.15839,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,20.0,0.25020459,23,,,0,,False,5,test,0
1602,0.0,485.15839,485.40859,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-40.0,0.25020459,151,,,0,,False,5,test,0
1603,0.0,485.40859,485.65879,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,0.0,0.25020459,68,,,0,,False,7,train,1
1604,0.0,485.65879,485.909,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,0.0,0.25020459,92,,,0,,False,7,train,1
1605,0.0,485.909,486.15921,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-10.0,0.25021541,238,,,0,,False,4,train,2
1606,0.0,486.15921,486.40943,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-40.0,0.25021541,151,,,0,,False,6,train,0
1607,0.0,486.40943,486.65965,null,"[3644.93333333, 3644.93333333]",30.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-30.0,0.25021541,235,,,0,,False,4,train,1
1608,0.0,486.65965,486.90986,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-20.0,0.25021541,219,,,0,,False,6,train,0
1609,0.0,486.90986,487.16007,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25020459,169,,,0,,False,6,train,2
1610,0.0,487.16007,487.41027,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25020459,95,,,0,,False,10,train,0
1611,0.0,487.41027,487.66047,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,20.0,0.25020459,67,,,0,,False,8,test,1
1612,0.0,487.66047,487.91068,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,20.0,0.25020459,179,,,0,,False,4,train,0
1613,0.0,487.91068,488.16088,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-30.0,0.25020541,227,,,0,,False,3,train,0
1614,0.0,488.16088,488.41109,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-40.0,0.25020541,56,,,0,,False,7,train,1
1615,0.0,488.41109,488.6613,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-20.0,0.25020541,240,,,0,,False,6,train,2
1616,0.0,488.6613,488.9115,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25020541,90,,,0,,False,8,test,0
1617,0.0,488.9115,489.16171,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-40.0,0.25020959,13,,,0,,False,4,train,2
1618,0.0,489.16171,489.41192,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,30.0,0.25020959,36,,,0,,False,5,test,1
1619,0.0,489.41192,489.66213,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,30.0,0.25020959,204,,,0,,False,8,test,0
1620,0.0,489.66213,489.91234,null,"[3644.93333333, 3644.93333333]",30.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,10.0,0.25020959,21,,,0,,False,2,test,1
1621,0.0,489.91234,490.16255,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25021541,178,,,0,,False,4,train,0
1622,0.0,490.16255,490.41277,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25021541,153,,,0,,False,8,test,0
