stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,coherence,Speed,phase,contrast,Dir,temporal_frequency,y_position,color,frame,size,orientation,stimulus_name,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1735,0.0,511.06517,511.31538,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021486,63,,,0,,False,4,train,0
1736,0.0,511.31538,511.5656,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021486,112,,,0,,False,5,test,0
1737,0.0,511.5656,511.81581,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020764,53,,,0,,False,7,train,2
1738,0.0,511.81581,512.06601,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020764,105,,,0,,False,5,test,2
1739,0.0,512.06601,512.31622,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020764,224,,,0,,False,8,test,1
1740,0.0,512.31622,512.56643,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020764,177,,,0,,False,8,test,2
1741,0.0,512.56643,512.81663,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020236,149,,,0,,False,8,test,0
1742,0.0,512.81663,513.06683,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020236,104,,,0,,False,7,train,1
1743,0.0,513.06683,513.31704,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020236,52,,,0,,False,9,train,0
1744,0.0,513.31704,513.56724,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020236,47,,,0,,False,9,train,1
1745,0.0,513.56724,513.81745,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021264,49,,,0,,False,6,train,2
1746,0.0,513.81745,514.06766,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021264,145,,,0,,False,5,test,1
1747,0.0,514.06766,514.31788,-10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021264,73,,,0,,False,7,train,0
1748,0.0,514.31788,514.56809,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021264,186,,,0,,False,6,train,2
1749,0.0,514.56809,514.8183,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020986,44,,,0,,False,6,train,0
1750,0.0,514.8183,515.06851,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020986,36,,,0,,False,9,train,0
1751,0.0,515.06851,515.31872,-10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020986,13,,,0,,False,8,test,2
1752,0.0,515.31872,515.56893,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020986,150,,,0,,False,9,train,1
1753,0.0,515.56893,515.81914,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021014,83,,,0,,False,6,train,0
1754,0.0,515.81914,516.06935,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021014,88,,,0,,False,6,train,0
