ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,rotation_test_gain,rotation_train_gain,axis_test_poisson_deviance,axis_train_poisson_deviance,axis_area_deg2,rotation_log2_area_ratio,parameter_baseline,parameter_amplitude_0,parameter_amplitude_45,parameter_amplitude_90,success,optimizer_nfev,best_train_anscombe_mse,second_best_train_anscombe_mse,multistart_mse_gap,train_poisson_deviance,test_poisson_deviance,baseline_spikes,mean_amplitude_spikes,center_x_deg,center_y_deg,sigma_major_deg,sigma_minor_deg,major_axis_angle_deg,axis_ratio,latent_halfmax_area_deg2,sigma_lower_bound,sigma_upper_bound
951868799,HVA,VISal,calibration,aperture,8.34910998e-05,9.9786249e-05,1.93659976,1.90148842,130.9892,-0.040176037,3.07416067,2.90318318,3.00441169,3.3449193,True,42,1.62024905,1.62024905,1.53258517e-10,1.90138863,1.93651627,3.07416067,3.08417139,5.62288802,48.7875422,14.62534,2,-14.2810873,7.31267002,127.391748,True,False
951868799,HVA,VISal,calibration,point,4.88754081e-06,-6.91741927e-06,1.93661221,1.90148519,94.434894,0.327902256,3.07697061,7.44659788,7.75566271,8.85899,True,43,1.62046093,1.62046093,1.20713639e-09,1.90149211,1.93660732,3.07697061,8.02041686,9.13033368,44.2733944,11.3556677,2.39675094,-3.88755687,4.73794233,118.533446,False,False
951868817,HVA,VISal,calibration,aperture,0.000771272973,0.000777490205,0.691055217,0.676691378,3443.70377,0.046513534,2.75709464,2.56880277,2.26669939,1.92570374,True,13,0.613250256,0.613250257,1.1558432e-10,0.675913888,0.690283944,2.75709464,2.2537353,13.8339469,36.1497887,40.3483467,20.2393556,9.22806897,1.99355886,3556.54047,False,False
951868817,HVA,VISal,calibration,point,0.000772504772,0.000778251357,0.691063282,0.676695187,3578.76722,0.0462179939,2.75684543,2.56909142,2.2670379,1.9260486,True,7,0.613252301,0.613252301,7.01583236e-12,0.675916936,0.690290777,2.75684543,2.25405931,13.8363765,36.1517874,40.6678441,20.8636349,9.23253422,1.94922142,3695.27236,False,False
951868829,HVA,VISal,calibration,aperture,0.00261049151,0.00105827571,1.18729953,1.15814331,1137.06078,-0.295966357,1.0581117,1.1315065,1.82946978,1.66239605,True,15,0.801498042,0.801498043,4.38498349e-10,1.15708503,1.18468904,1.0581117,1.54112411,14.4718583,41.1599684,20.3485756,10.4508012,-23.3678186,1.94708283,926.166202,False,False
951868829,HVA,VISal,calibration,point,0.0026477921,0.00107230007,1.18732764,1.15815723,1263.97262,-0.245225686,1.05786931,1.13495143,1.83513694,1.66727553,True,20,0.801499736,0.801499737,1.28398892e-09,1.15708493,1.18467985,1.05786931,1.54578797,14.402904,41.2182168,21.0181561,11.6497723,-23.4898789,1.80416883,1066.39323,False,False
951868840,HVA,VISal,calibration,aperture,0.00310289268,0.00100594784,1.02251345,1.03110748,215.525949,-0.18760597,0.208213289,1.11341559,0.865898454,2.05837314,True,26,0.388167792,0.388167806,1.43128117e-08,1.03010153,1.01941056,0.208213289,1.34589573,8.72700179,59.9909305,15.2057831,2.85765912,-56.7410175,5.32106259,189.245056,False,False
951868840,HVA,VISal,calibration,point,0.00305161597,0.000815510537,1.02256751,1.03111615,400.793563,0.12578328,0.207861486,1.12846744,0.845513441,2.03070305,True,16,0.388184193,0.388184193,1.40487288e-10,1.03030064,1.01951589,0.207861486,1.33489464,9.11215846,59.9999931,16.5689966,6.06015511,-58.4451077,2.73408787,437.305841,False,False
951868880,HVA,VISal,evaluation,aperture,0.00649598611,0.0066523579,1.76268294,1.70062067,359.269371,-0.108132578,0.499698852,1.38306269,1.25890899,0.582857682,True,25,0.895178941,0.895178945,3.35054884e-09,1.69396831,1.75618695,0.499698852,1.07494312,-3.42660798,33.0775222,18.03914,4.24275434,54.8248005,4.25175216,333.325887,False,False
951868880,HVA,VISal,evaluation,point,0.00480570805,0.00772911257,1.76268506,1.70064456,513.061136,-0.351372607,0.510298538,1.73888073,1.61088012,0.663259922,True,24,0.893946855,0.893946856,1.17245913e-09,1.69291545,1.75787935,0.510298538,1.33767359,-3.36551249,33.3850097,16.6692603,5.53954082,60.4324536,3.00914116,402.156807,False,False
