ecephys_probe_id,ecephys_session_id,probe_letter,primary_structure,n_units,n_visp_units_other_probes,dist_entry_to_v1_um,dist_tip_to_v1_um,delta_um
805008610,791319847,probeF,VISrl,270,190,1882.8734,1330.7155,-552.1579
810758787,794812542,probeF,VISrl,299,226,1525.5549,1384.4362,-141.1187
800036206,798911424,probeF,VISrl,283,200,1915.0050,1430.0468,-484.9583
805579713,799864342,probeF,VISrl,238,155,1910.1560,1117.3902,-792.7659
832129161,829720705,probeF,VISrl,339,121,2120.1191,1002.7200,-1117.3991
832810584,831882777,probeF,VISrl,315,130,1822.7999,1108.9408,-713.8591
837761716,835479236,probeF,VISrl,329,159,2640.3402,1774.4655,-865.8747
868929142,839068429,probeF,VISrl,297,178,1626.1977,888.9078,-737.2899
868297133,840012044,probeF,VISrl,282,137,1290.4934,698.7974,-591.6960
848037578,847657808,probeF,VISrl,376,122,1794.3634,1078.2640,-716.0993
760640043,754829445,probeE,VPM,421,195,1536.7883,1052.7395,-484.0489
805002035,789848216,probeE,grey,220,44,1772.2115,1309.2030,-463.0085
