area,rf_units,ecephys_session_id,rf_center_error_before_deg,rf_center_error_after_deg
RL,69,757970808,18.497,6.8467
V1,148,757970808,19.8045,5.80963
AL,118,758798717,34.8589,13.7158
AM,64,758798717,27.2894,9.09139
PM,39,758798717,14.8124,3.75966
V1,83,758798717,8.10771,10.7282
AL,63,759883607,40,6.03756
AM,76,759883607,22.0067,11.6882
PM,79,759883607,19.3868,15.6761
V1,90,759883607,8.53475,10.7753
AL,69,760345702,43.4709,21.1229
AM,47,760345702,16.6821,13.7148
LM,76,760345702,8.75634,5.78398
PM,55,760345702,27.0457,13.3364
V1,92,760345702,11.0662,8.92828
AL,167,760693773,42.273,6.18609
AM,77,760693773,9.17885,14.4594
PM,84,760693773,30.0678,16.866
RL,50,760693773,20.9436,4.24756
V1,153,760693773,11.0662,8.68925
AL,169,761418226,20.6155,0.692716
PM,54,761418226,9.56119,6.76573
RL,119,761418226,21.5502,6.09852
V1,58,761418226,22.1369,15.0646
AL,90,762120172,18.0278,4.48739
AM,29,762120172,5.64823,11.9749
LM,68,762120172,47.0744,9.514
V1,127,762120172,6.2235,4.6751
AM,68,762602078,37.1263,11.6567
RL,88,762602078,25.6692,4.83483
V1,106,762602078,22.4015,4.74666
AM,97,763673393,2.85628,2.83025
LM,40,763673393,43.0525,16.049
RL,52,763673393,27.8555,8.10983
V1,104,763673393,15.2958,5.58953
AL,198,773418906,34.9185,15.2548
AM,24,773418906,16.7645,12.4436
RL,38,773418906,20.5662,16.7319
V1,99,773418906,7.77332,14.0657
AL,46,791319847,32.8296,4.21411
AM,59,791319847,13.3275,15.226
LM,60,791319847,28.0832,15.2018
PM,26,791319847,12.6914,7.84371
RL,65,791319847,0.842135,4.72213
V1,127,791319847,7.77875,4.72764
AL,68,797828357,32.1657,15.1903
AM,69,797828357,36.7774,9.00122
LM,98,797828357,47.2212,6.08132
PM,25,797828357,15.334,20.3828
RL,19,797828357,18.1319,21.0884
V1,117,797828357,15.6681,5.88636
AL,108,798911424,10.2956,4.88859
AM,141,798911424,30.4076,6.9626
LM,87,798911424,25.0372,14.9209
RL,48,798911424,5.19911,10.0542
V1,127,798911424,9.83417,6.82877
AL,97,799864342,25.4592,2.65381
AM,54,799864342,32.8143,1.08493
LM,50,799864342,26.6887,14.6873
RL,35,799864342,10.5091,9.63318
V1,127,799864342,8.35232,4.30567
