ecephys_session_id,group,preference,coordinate_model,session_units,reference_units,shared_grid_points,shared_grid_fraction,comparison_supported,weighted_surface_correlation,weighted_rmse_octaves,weighted_bias_octaves
763673393,V1,sf,raw,74,2122,455,0.270672,True,-0.716075,0.272551,0.19942
773418906,V1,sf,raw,72,2124,382,0.227246,True,0.806087,0.644082,-0.643554
791319847,V1,sf,raw,94,2102,518,0.30815,True,0.89962,0.348236,-0.344869
797828357,V1,sf,raw,61,2135,434,0.25818,True,0.843375,0.0781083,0.0486282
798911424,V1,sf,raw,90,2106,491,0.292088,True,0.878757,0.0908442,-0.0527576
799864342,V1,sf,raw,100,2096,492,0.292683,True,0.412595,0.357969,0.354888
715093703,V1,tf,raw,72,2524,440,0.261749,True,0.685476,0.111206,0.011624
719161530,V1,tf,raw,66,2530,346,0.20583,True,0.0941848,0.229744,0.160044
721123822,V1,tf,raw,51,2545,370,0.220107,True,0.663485,0.17096,-0.166415
732592105,V1,tf,raw,121,2475,529,0.314694,True,0.46841,0.108085,-0.0930423
737581020,V1,tf,raw,65,2531,386,0.229625,True,0.882408,0.204747,0.177592
739448407,V1,tf,raw,30,2566,302,0.179655,True,0.671708,0.342966,-0.341988
742951821,V1,tf,raw,62,2534,340,0.202261,True,0.794904,0.0425394,-0.0245513
744228101,V1,tf,raw,47,2549,358,0.212968,True,0.25164,0.58772,-0.583034
746083955,V1,tf,raw,33,2563,292,0.173706,True,0.143439,0.131392,-0.0913413
750332458,V1,tf,raw,82,2514,481,0.286139,True,0.817498,0.09488,-0.067744
750749662,V1,tf,raw,77,2519,407,0.242118,True,0.780536,0.162311,0.129697
751348571,V1,tf,raw,52,2544,381,0.226651,True,0.839195,0.231105,-0.197522
754312389,V1,tf,raw,125,2471,525,0.312314,True,0.85924,0.0992394,0.059369
754829445,V1,tf,raw,105,2491,671,0.399167,True,0.610935,0.400784,0.351947
755434585,V1,tf,raw,115,2481,475,0.28257,True,0.561064,0.0884826,-0.0766946
756029989,V1,tf,raw,78,2518,428,0.25461,True,0.813217,0.160029,-0.13889
757216464,V1,tf,raw,117,2479,519,0.308745,True,0.866461,0.157024,0.143408
757970808,V1,tf,raw,128,2468,524,0.311719,True,-0.296131,0.149334,0.115165
758798717,V1,tf,raw,68,2528,426,0.253421,True,0.735305,0.0551477,-0.00796878
759883607,V1,tf,raw,79,2517,416,0.247472,True,-0.612884,0.175325,-0.151128
760345702,V1,tf,raw,77,2519,435,0.258775,True,0.902799,0.116129,-0.0794813
760693773,V1,tf,raw,133,2463,644,0.383105,True,0.522793,0.16908,0.129467
761418226,V1,tf,raw,47,2549,360,0.214158,True,0.429278,0.100163,-0.0375678
762120172,V1,tf,raw,102,2494,532,0.316478,True,0.664389,0.103188,-0.0490623
762602078,V1,tf,raw,100,2496,560,0.333135,True,0.663492,0.0911573,-0.0235884
763673393,V1,tf,raw,89,2507,480,0.285544,True,-0.761499,0.194269,-0.14299
773418906,V1,tf,raw,78,2518,378,0.224866,True,-0.937619,0.137362,0.0446871
791319847,V1,tf,raw,109,2487,544,0.323617,True,0.795462,0.177356,0.171247
797828357,V1,tf,raw,85,2511,511,0.303986,True,-0.467264,0.371346,0.35755
798911424,V1,tf,raw,99,2497,522,0.310529,True,0.882211,0.104047,-0.0868052
799864342,V1,tf,raw,104,2492,506,0.301011,True,0.536676,0.172597,0.164052
715093703,HVA pooled,sf,raw,213,4536,1377,0.819155,True,0.215405,0.176113,-0.0360133
719161530,HVA pooled,sf,raw,109,4640,739,0.439619,True,0.187839,0.262386,-0.20243
721123822,HVA pooled,sf,raw,193,4556,1565,0.930993,True,0.203502,0.26184,-0.21796
732592105,HVA pooled,sf,raw,203,4546,1360,0.809042,True,0.0209156,0.283311,-0.15173
737581020,HVA pooled,sf,raw,80,4669,387,0.23022,True,-0.481001,0.265597,-0.129103
739448407,HVA pooled,sf,raw,97,4652,982,0.584176,True,-0.195083,0.377902,0.0880602
742951821,HVA pooled,sf,raw,160,4589,1149,0.683522,True,0.0196525,0.506649,0.374492
744228101,HVA pooled,sf,raw,71,4678,567,0.337299,True,0.149465,0.248925,0.165604
746083955,HVA pooled,sf,raw,145,4604,1039,0.618084,True,-0.425736,0.253818,-0.171038
750332458,HVA pooled,sf,raw,212,4537,989,0.58834,True,0.180603,0.284586,-0.24063
750749662,HVA pooled,sf,raw,132,4617,1055,0.627603,True,-0.337558,0.151513,0.0322134
751348571,HVA pooled,sf,raw,153,4596,1234,0.734087,True,-0.474258,0.346428,0.185386
754312389,HVA pooled,sf,raw,94,4655,893,0.531231,True,0.177955,0.267219,-0.184366
754829445,HVA pooled,sf,raw,38,4711,119,0.0707912,True,0.536532,0.744937,-0.724456
755434585,HVA pooled,sf,raw,219,4530,1596,0.949435,True,0.125621,0.26205,0.110349
756029989,HVA pooled,sf,raw,221,4528,1472,0.875669,True,-0.0433474,0.407195,0.12487
757216464,HVA pooled,sf,raw,183,4566,1191,0.708507,True,-0.436618,0.297477,0.184521
757970808,HVA pooled,sf,raw,151,4598,1160,0.690065,True,-0.212067,0.227495,-0.118279
758798717,HVA pooled,sf,raw,147,4602,1195,0.710886,True,-0.113489,0.260591,0.0282208
759883607,HVA pooled,sf,raw,149,4600,1169,0.695419,True,0.499497,0.322732,0.280274
760345702,HVA pooled,sf,raw,166,4583,1265,0.752528,True,0.270608,0.229891,-0.177563
760693773,HVA pooled,sf,raw,238,4511,1282,0.762641,True,0.207565,0.171704,0.00169638
761418226,HVA pooled,sf,raw,200,4549,1294,0.76978,True,0.219402,0.226091,-0.0972613
762120172,HVA pooled,sf,raw,122,4627,849,0.505057,True,0.121257,0.460715,0.431806
762602078,HVA pooled,sf,raw,137,4612,463,0.275431,True,0.702679,0.226771,0.0276024
763673393,HVA pooled,sf,raw,97,4652,794,0.472338,True,0.10478,0.216498,-0.0442525
773418906,HVA pooled,sf,raw,148,4601,1035,0.615705,True,0.318005,0.219921,-0.111696
791319847,HVA pooled,sf,raw,145,4604,1311,0.779893,True,0.232668,0.345329,-0.271763
797828357,HVA pooled,sf,raw,100,4649,543,0.323022,True,0.0379811,0.339539,0.257256
798911424,HVA pooled,sf,raw,266,4483,1558,0.926829,True,0.673048,0.30103,0.22526
799864342,HVA pooled,sf,raw,160,4589,1100,0.654372,True,0.0746329,0.260835,-0.193343
715093703,HVA pooled,tf,raw,242,5196,1447,0.860797,True,0.508978,0.299045,0.186447
719161530,HVA pooled,tf,raw,127,5311,935,0.556217,True,0.745292,0.415384,0.013192
721123822,HVA pooled,tf,raw,232,5206,1605,0.954789,True,0.565987,0.364109,-0.290335
732592105,HVA pooled,tf,raw,239,5199,1556,0.92564,True,-0.0867806,0.415095,-0.171244
737581020,HVA pooled,tf,raw,85,5353,439,0.261154,True,0.44049,0.245532,0.167425
739448407,HVA pooled,tf,raw,98,5340,961,0.571684,True,0.574675,0.275289,-0.109885
742951821,HVA pooled,tf,raw,172,5266,1282,0.762641,True,-0.0617228,0.296085,0.128463
744228101,HVA pooled,tf,raw,103,5335,871,0.518144,True,0.55525,0.388786,0.197514
746083955,HVA pooled,tf,raw,170,5268,1178,0.700773,True,-0.362835,0.255657,-0.0942851
750332458,HVA pooled,tf,raw,217,5221,1049,0.624033,True,-0.15797,0.574423,0.538952
750749662,HVA pooled,tf,raw,161,5277,1190,0.707912,True,-0.268894,0.55861,0.459151
751348571,HVA pooled,tf,raw,226,5212,1401,0.833432,True,0.279613,0.510515,0.458377
754312389,HVA pooled,tf,raw,155,5283,1244,0.740036,True,0.896256,0.25959,-0.16031
754829445,HVA pooled,tf,raw,55,5383,324,0.192742,True,-0.184317,0.221064,0.0692072
755434585,HVA pooled,tf,raw,229,5209,1629,0.969066,True,0.605003,0.235083,0.0802329
756029989,HVA pooled,tf,raw,249,5189,1523,0.906008,True,0.765777,0.314122,0.104145
757216464,HVA pooled,tf,raw,194,5244,1305,0.776324,True,-0.213017,0.52228,-0.337658
757970808,HVA pooled,tf,raw,179,5259,1314,0.781678,True,0.760813,0.366837,-0.0938623
758798717,HVA pooled,tf,raw,162,5276,1333,0.79298,True,0.656077,0.309948,-0.0665001
759883607,HVA pooled,tf,raw,163,5275,1192,0.709102,True,0.0955877,0.517557,-0.472209
760345702,HVA pooled,tf,raw,154,5284,1174,0.698394,True,0.187456,0.486902,-0.362238
760693773,HVA pooled,tf,raw,262,5176,1481,0.881023,True,0.152271,0.269925,0.122778
761418226,HVA pooled,tf,raw,204,5234,1299,0.772754,True,0.840526,0.338075,-0.278916
762120172,HVA pooled,tf,raw,143,5295,954,0.567519,True,0.875585,0.361776,-0.239777
762602078,HVA pooled,tf,raw,130,5308,435,0.258775,True,0.866237,0.069688,-0.0503588
763673393,HVA pooled,tf,raw,128,5310,895,0.532421,True,0.856692,0.255804,-0.190471
773418906,HVA pooled,tf,raw,170,5268,1247,0.74182,True,0.073427,0.34913,0.073707
791319847,HVA pooled,tf,raw,157,5281,1323,0.787032,True,0.176544,0.498619,0.167084
797828357,HVA pooled,tf,raw,151,5287,1107,0.658537,True,0.144004,0.310165,-0.0593935
798911424,HVA pooled,tf,raw,292,5146,1655,0.984533,True,0.270123,0.282422,0.126926
799864342,HVA pooled,tf,raw,189,5249,1266,0.753123,True,0.846082,0.442486,0.151911
715093703,V1,sf,affine,66,2130,379,0.225461,True,-0.872306,0.207169,-0.175688
719161530,V1,sf,affine,54,2142,333,0.198096,True,0.515667,0.233167,-0.218036
721123822,V1,sf,affine,30,2166,294,0.174896,True,-0.898886,0.108015,-0.0283908
732592105,V1,sf,affine,94,2102,390,0.232005,True,0.329737,0.0484985,-0.0141746
737581020,V1,sf,affine,55,2141,338,0.201071,True,-0.206387,0.380769,-0.374856
739448407,V1,sf,affine,29,2167,292,0.173706,True,-0.00349242,0.231402,0.206612
742951821,V1,sf,affine,47,2149,296,0.176086,True,0.783017,0.0424353,-0.00786037
744228101,V1,sf,affine,29,2167,276,0.164188,True,-0.798089,0.252983,-0.237531
746083955,V1,sf,affine,28,2168,276,0.164188,True,-0.13928,0.225737,0.161965
750332458,V1,sf,affine,71,2125,389,0.23141,True,-0.907715,0.167342,-0.0906467
750749662,V1,sf,affine,51,2145,341,0.202855,True,-0.785197,0.654386,0.64076
751348571,V1,sf,affine,40,2156,355,0.211184,True,-0.885906,0.600499,0.58691
754312389,V1,sf,affine,79,2117,468,0.278406,True,0.65002,0.266832,0.182594
754829445,V1,sf,affine,96,2100,469,0.279001,True,-0.860814,0.297587,-0.251546
755434585,V1,sf,affine,97,2099,454,0.270077,True,-0.658448,0.14817,0.106023
756029989,V1,sf,affine,58,2138,352,0.209399,True,0.778259,0.237144,-0.234747
757216464,V1,sf,affine,104,2092,416,0.247472,True,0.74725,0.229541,0.227862
757970808,V1,sf,affine,106,2090,452,0.268888,True,-0.509026,0.356814,0.352236
758798717,V1,sf,affine,61,2135,350,0.208209,True,-0.545191,0.078011,0.0286218
759883607,V1,sf,affine,70,2126,394,0.234384,True,-0.0945113,0.388215,0.380924
760345702,V1,sf,affine,66,2130,355,0.211184,True,-0.652237,0.242533,-0.234336
760693773,V1,sf,affine,132,2064,598,0.355741,True,0.527217,0.194866,-0.16726
761418226,V1,sf,affine,41,2155,345,0.205235,True,-0.87074,0.261198,-0.198752
762120172,V1,sf,affine,107,2089,439,0.261154,True,0.924051,0.0322464,0.00681333
762602078,V1,sf,affine,94,2102,533,0.317073,True,0.557668,0.446124,-0.423506
763673393,V1,sf,affine,74,2122,406,0.241523,True,-0.349972,0.242981,0.205104
773418906,V1,sf,affine,72,2124,423,0.251636,True,-0.447511,0.626082,-0.623115
791319847,V1,sf,affine,94,2102,499,0.296847,True,0.731614,0.341919,-0.338627
797828357,V1,sf,affine,61,2135,370,0.220107,True,0.833458,0.0714553,0.063936
798911424,V1,sf,affine,90,2106,411,0.244497,True,0.87337,0.0655132,-0.0430532
799864342,V1,sf,affine,100,2096,447,0.265913,True,-0.317432,0.392085,0.388848
715093703,V1,tf,affine,72,2524,389,0.23141,True,0.602237,0.0504873,0.031087
719161530,V1,tf,affine,66,2530,354,0.210589,True,0.877495,0.0807744,0.0473209
721123822,V1,tf,affine,51,2545,327,0.194527,True,0.242925,0.15619,-0.151239
732592105,V1,tf,affine,121,2475,423,0.251636,True,-0.293648,0.115916,-0.107818
737581020,V1,tf,affine,65,2531,343,0.204045,True,0.829014,0.174178,0.169997
739448407,V1,tf,affine,30,2566,289,0.171921,True,0.65768,0.314197,-0.312882
742951821,V1,tf,affine,62,2534,305,0.18144,True,0.846742,0.0743072,-0.0653655
744228101,V1,tf,affine,47,2549,328,0.195122,True,0.807945,0.603048,-0.60278
746083955,V1,tf,affine,33,2563,294,0.174896,True,0.787539,0.0698988,-0.0570819
750332458,V1,tf,affine,82,2514,400,0.237954,True,0.68146,0.0388163,0.00595923
750749662,V1,tf,affine,77,2519,372,0.221297,True,0.928854,0.115432,0.100852
751348571,V1,tf,affine,52,2544,367,0.218322,True,0.847795,0.21301,-0.205101
754312389,V1,tf,affine,125,2471,524,0.311719,True,0.888414,0.0998605,0.0777843
754829445,V1,tf,affine,105,2491,478,0.284355,True,0.91078,0.234758,0.210822
755434585,V1,tf,affine,115,2481,453,0.269482,True,0.632566,0.108669,-0.102817
756029989,V1,tf,affine,78,2518,371,0.220702,True,0.756168,0.141285,-0.129048
757216464,V1,tf,affine,117,2479,444,0.264128,True,-0.259009,0.166291,0.143386
757970808,V1,tf,affine,128,2468,469,0.279001,True,-0.92454,0.199109,0.147676
758798717,V1,tf,affine,68,2528,371,0.220702,True,0.547878,0.0463282,0.0303401
759883607,V1,tf,affine,79,2517,408,0.242713,True,0.548714,0.152851,-0.147364
760345702,V1,tf,affine,77,2519,373,0.221892,True,0.864003,0.0955715,-0.0727751
760693773,V1,tf,affine,133,2463,594,0.353361,True,0.84551,0.128275,0.109246
761418226,V1,tf,affine,47,2549,366,0.217728,True,-0.375956,0.14205,0.0802197
762120172,V1,tf,affine,102,2494,429,0.255205,True,0.66747,0.0503493,0.0283628
762602078,V1,tf,affine,100,2496,556,0.330756,True,0.356072,0.150835,0.103915
763673393,V1,tf,affine,89,2507,417,0.248067,True,-0.841158,0.173412,-0.13379
773418906,V1,tf,affine,78,2518,419,0.249256,True,-0.487598,0.101002,0.0410944
791319847,V1,tf,affine,109,2487,517,0.307555,True,0.558998,0.154058,0.134134
797828357,V1,tf,affine,85,2511,408,0.242713,True,-0.875367,0.407034,0.399961
798911424,V1,tf,affine,99,2497,447,0.265913,True,0.500028,0.0988636,-0.0814963
799864342,V1,tf,affine,104,2492,422,0.251041,True,0.173237,0.211488,0.20571
715093703,HVA pooled,sf,affine,213,4536,1095,0.651398,True,0.631824,0.0850521,-0.0274307
719161530,HVA pooled,sf,affine,109,4640,793,0.471743,True,0.152264,0.258617,-0.236367
721123822,HVA pooled,sf,affine,193,4556,1046,0.622249,True,0.720715,0.222031,-0.21209
732592105,HVA pooled,sf,affine,203,4546,935,0.556217,True,-0.555391,0.230168,-0.170675
737581020,HVA pooled,sf,affine,80,4669,595,0.353956,True,-0.658504,0.213721,-0.0197913
739448407,HVA pooled,sf,affine,97,4652,768,0.456871,True,-0.104538,0.266129,0.0866227
742951821,HVA pooled,sf,affine,160,4589,801,0.476502,True,-0.274762,0.415205,0.382573
744228101,HVA pooled,sf,affine,71,4678,766,0.455681,True,0.229243,0.208517,0.15338
746083955,HVA pooled,sf,affine,145,4604,951,0.565735,True,-0.374413,0.227845,-0.189384
750332458,HVA pooled,sf,affine,212,4537,930,0.553242,True,-0.329362,0.201609,-0.164458
750749662,HVA pooled,sf,affine,132,4617,1035,0.615705,True,-0.345286,0.0932211,0.0265958
751348571,HVA pooled,sf,affine,153,4596,1080,0.642475,True,-0.781428,0.268927,0.145585
754312389,HVA pooled,sf,affine,94,4655,987,0.587151,True,0.799668,0.201836,-0.120421
754829445,HVA pooled,sf,affine,38,4711,462,0.274836,True,0.217474,0.38953,-0.387839
755434585,HVA pooled,sf,affine,219,4530,1411,0.839381,True,0.796994,0.189154,0.0784929
756029989,HVA pooled,sf,affine,221,4528,1204,0.71624,True,-0.180845,0.314741,0.101644
757216464,HVA pooled,sf,affine,183,4566,762,0.453302,True,0.544158,0.228153,0.225745
757970808,HVA pooled,sf,affine,151,4598,894,0.531826,True,-0.525717,0.130377,-0.0904688
758798717,HVA pooled,sf,affine,147,4602,789,0.469363,True,-0.164789,0.0951611,-0.00455223
759883607,HVA pooled,sf,affine,149,4600,1078,0.641285,True,-0.193834,0.297622,0.256437
760345702,HVA pooled,sf,affine,166,4583,700,0.416419,True,0.455666,0.185794,-0.172237
760693773,HVA pooled,sf,affine,238,4511,1328,0.790006,True,0.161269,0.153163,-0.0660184
761418226,HVA pooled,sf,affine,200,4549,1316,0.782867,True,0.475883,0.180129,-0.128318
762120172,HVA pooled,sf,affine,122,4627,669,0.397977,True,0.704135,0.461678,0.457694
762602078,HVA pooled,sf,affine,137,4612,604,0.35931,True,0.866142,0.253292,0.158591
763673393,HVA pooled,sf,affine,97,4652,779,0.463415,True,0.515894,0.150494,-0.100374
773418906,HVA pooled,sf,affine,148,4601,804,0.478287,True,0.325401,0.187609,-0.114695
791319847,HVA pooled,sf,affine,145,4604,1078,0.641285,True,0.012225,0.28145,-0.2471
797828357,HVA pooled,sf,affine,100,4649,669,0.397977,True,-0.818533,0.261006,0.199144
798911424,HVA pooled,sf,affine,266,4483,807,0.480071,True,0.405044,0.254493,0.234057
799864342,HVA pooled,sf,affine,160,4589,794,0.472338,True,0.399496,0.233983,-0.17658
715093703,HVA pooled,tf,affine,242,5196,1168,0.694825,True,0.795001,0.201759,0.158465
719161530,HVA pooled,tf,affine,127,5311,892,0.530637,True,0.437901,0.434796,0.267454
721123822,HVA pooled,tf,affine,232,5206,1081,0.64307,True,0.617523,0.324613,-0.29105
732592105,HVA pooled,tf,affine,239,5199,953,0.566924,True,0.00581025,0.257904,-0.15044
737581020,HVA pooled,tf,affine,85,5353,652,0.387864,True,0.730661,0.19705,0.150329
739448407,HVA pooled,tf,affine,98,5340,778,0.46282,True,0.376015,0.255435,-0.147697
742951821,HVA pooled,tf,affine,172,5266,821,0.4884,True,-0.242302,0.145564,0.0701954
744228101,HVA pooled,tf,affine,103,5335,868,0.516359,True,0.908949,0.272771,0.154867
746083955,HVA pooled,tf,affine,170,5268,1017,0.604997,True,0.358919,0.150582,-0.0483129
750332458,HVA pooled,tf,affine,217,5221,958,0.569899,True,0.411004,0.40404,0.393398
750749662,HVA pooled,tf,affine,161,5277,1135,0.675193,True,-0.00708246,0.500451,0.452334
751348571,HVA pooled,tf,affine,226,5212,1162,0.691255,True,0.864163,0.48267,0.466884
754312389,HVA pooled,tf,affine,155,5283,1233,0.733492,True,0.552273,0.237411,-0.125882
754829445,HVA pooled,tf,affine,55,5383,538,0.320048,True,0.0880204,0.319623,0.308269
755434585,HVA pooled,tf,affine,229,5209,1438,0.855443,True,0.715769,0.233845,0.131664
756029989,HVA pooled,tf,affine,249,5189,1279,0.760857,True,0.897604,0.261687,0.0760247
757216464,HVA pooled,tf,affine,194,5244,806,0.479477,True,-0.154517,0.377498,-0.349748
757970808,HVA pooled,tf,affine,179,5259,915,0.544319,True,0.667218,0.25137,-0.0372513
758798717,HVA pooled,tf,affine,162,5276,820,0.487805,True,0.633153,0.227471,-0.108107
759883607,HVA pooled,tf,affine,163,5275,1126,0.669839,True,0.268394,0.580659,-0.549256
760345702,HVA pooled,tf,affine,154,5284,688,0.40928,True,0.833188,0.316948,-0.304948
760693773,HVA pooled,tf,affine,262,5176,1396,0.830458,True,0.251983,0.226801,0.0627166
761418226,HVA pooled,tf,affine,204,5234,1366,0.812612,True,0.570906,0.432988,-0.400852
762120172,HVA pooled,tf,affine,143,5295,664,0.395003,True,0.937964,0.290333,-0.222835
762602078,HVA pooled,tf,affine,130,5308,588,0.349792,True,0.122753,0.0860397,-0.0195056
763673393,HVA pooled,tf,affine,128,5310,867,0.515764,True,-0.402237,0.326237,-0.243278
773418906,HVA pooled,tf,affine,170,5268,855,0.508626,True,0.498138,0.153703,-0.0646665
791319847,HVA pooled,tf,affine,157,5281,1078,0.641285,True,0.147586,0.278622,0.0221388
797828357,HVA pooled,tf,affine,151,5287,746,0.443783,True,0.854513,0.0899201,-0.00975217
798911424,HVA pooled,tf,affine,292,5146,818,0.486615,True,-0.130311,0.210468,0.1523
799864342,HVA pooled,tf,affine,189,5249,799,0.475312,True,0.774797,0.366701,0.181801
