stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,phase,temporal_frequency,spatial_frequency,y_position,contrast,size,x_position,frame,color,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
58,0.0,87.782634,88.032835,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020114,55,,,0,,False,0,train,0
59,0.0,88.032835,88.283036,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020114,56,,,0,,False,0,train,0
60,0.0,88.283036,88.533237,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020114,57,,,0,,False,0,train,0
61,0.0,88.533237,88.783446,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020886,58,,,0,,False,0,train,2
62,0.0,88.783446,89.033655,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020886,59,,,0,,False,0,train,2
63,0.0,89.033655,89.283864,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020886,60,,,0,,False,0,train,1
64,0.0,89.283864,89.534073,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25020886,61,,,0,,False,0,train,1
65,0.0,89.534073,89.784284,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25021114,62,,,0,,False,0,train,2
66,0.0,89.784284,90.034495,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25021114,63,,,0,,False,0,train,2
67,0.0,90.034495,90.284706,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021114,64,,,0,,False,0,train,0
68,0.0,90.284706,90.534917,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25021114,65,,,0,,False,0,train,1
69,0.0,90.534917,90.785129,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25021136,1,,,0,,False,1,train,1
70,0.0,90.785129,91.03534,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25021136,66,,,0,,False,0,train,1
71,0.0,91.03534,91.285552,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25021136,67,,,0,,False,0,train,2
72,0.0,91.285552,91.535763,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25021136,68,,,0,,False,0,train,0
73,0.0,91.535763,91.785969,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020614,38,,,0,,False,1,train,0
74,0.0,91.785969,92.036175,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25020614,2,,,0,,False,1,train,0
75,0.0,92.036175,92.286381,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020614,69,,,0,,False,0,train,2
76,0.0,92.286381,92.536587,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25020614,70,,,0,,False,0,train,0
77,0.0,92.536587,92.786804,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021636,71,,,0,,False,0,train,0
78,0.0,92.786804,93.03702,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25021636,72,,,0,,False,0,train,1
79,0.0,93.03702,93.287237,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021636,16,,,0,,False,1,train,2
80,0.0,93.287237,93.537453,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25021636,73,,,0,,False,0,train,0
81,0.0,93.537453,93.787654,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020114,58,,,0,,False,1,train,2
82,0.0,93.787654,94.037855,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25020114,74,,,0,,False,0,train,2
83,0.0,94.037855,94.288056,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020114,75,,,0,,False,0,train,1
84,0.0,94.288056,94.538257,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25020114,76,,,0,,False,0,train,2
85,0.0,94.538257,94.788471,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021386,42,,,0,,False,1,train,0
86,0.0,94.788471,95.038685,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021386,2,,,0,,False,2,test,0
87,0.0,95.038685,95.288899,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021386,77,,,0,,False,0,train,0
88,0.0,95.288899,95.539113,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25021386,7,,,0,,False,1,train,0
89,0.0,95.539113,95.789317,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020364,78,,,0,,False,0,train,0
90,0.0,95.789317,96.03952,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020364,79,,,0,,False,0,train,2
91,0.0,96.03952,96.289724,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020364,80,,,0,,False,0,train,1
92,0.0,96.289724,96.539927,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25020364,81,,,0,,False,0,train,0
93,0.0,96.539927,96.790136,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020886,17,,,0,,False,1,train,2
94,0.0,96.790136,97.040345,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25020886,82,,,0,,False,0,train,0
95,0.0,97.040345,97.290554,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020886,83,,,0,,False,0,train,1
96,0.0,97.290554,97.540763,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25020886,84,,,0,,False,0,train,0
97,0.0,97.540763,97.790969,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020614,85,,,0,,False,0,train,1
98,0.0,97.790969,98.041175,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020614,65,,,0,,False,1,train,1
99,0.0,98.041175,98.291381,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020614,38,,,0,,False,2,test,0
100,0.0,98.291381,98.541587,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020614,5,,,0,,False,1,train,2
101,0.0,98.541587,98.791801,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021386,86,,,0,,False,0,train,0
102,0.0,98.791801,99.042015,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25021386,87,,,0,,False,0,train,0
103,0.0,99.042015,99.292229,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25021386,36,,,0,,False,1,train,1
104,0.0,99.292229,99.542443,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25021386,27,,,0,,False,1,train,1
105,0.0,99.542443,99.792647,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020364,88,,,0,,False,0,train,2
106,0.0,99.792647,100.04285,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25020364,70,,,0,,False,1,train,0
107,0.0,100.04285,100.29305,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020364,34,,,0,,False,1,train,2
108,0.0,100.29305,100.54326,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020364,89,,,0,,False,0,train,2
109,0.0,100.54326,100.79347,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25021636,90,,,0,,False,0,train,0
110,0.0,100.79347,101.04369,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021636,46,,,0,,False,1,train,2
111,0.0,101.04369,101.29391,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25021636,91,,,0,,False,0,train,1
112,0.0,101.29391,101.54412,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25021636,58,,,0,,False,2,test,2
113,0.0,101.54412,101.79433,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020614,92,,,0,,False,0,train,0
114,0.0,101.79433,102.04454,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25020614,93,,,0,,False,0,train,2
115,0.0,102.04454,102.29474,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020614,94,,,0,,False,0,train,1
116,0.0,102.29474,102.54495,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25020614,95,,,0,,False,0,train,2
117,0.0,102.54495,102.79516,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020886,96,,,0,,False,0,train,0
118,0.0,102.79516,103.04537,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020886,97,,,0,,False,0,train,1
119,0.0,103.04537,103.29557,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020886,98,,,0,,False,0,train,0
120,0.0,103.29557,103.54578,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25020886,3,,,0,,False,1,train,1
121,0.0,103.54578,103.79599,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25020864,99,,,0,,False,0,train,2
122,0.0,103.79599,104.0462,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25020864,100,,,0,,False,0,train,0
123,0.0,104.0462,104.29641,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25020864,101,,,0,,False,0,train,2
124,0.0,104.29641,104.54662,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020864,102,,,0,,False,0,train,2
125,0.0,104.54662,104.79683,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25021386,103,,,0,,False,0,train,1
126,0.0,104.79683,105.04705,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021386,4,,,0,,False,1,train,0
127,0.0,105.04705,105.29726,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25021386,104,,,0,,False,0,train,1
128,0.0,105.29726,105.54747,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021386,50,,,0,,False,1,train,2
129,0.0,105.54747,105.79767,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25019864,44,,,0,,False,1,train,1
130,0.0,105.79767,106.04787,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25019864,83,,,0,,False,1,train,1
131,0.0,106.04787,106.29807,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25019864,58,,,0,,False,3,train,2
132,0.0,106.29807,106.54827,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25019864,34,,,0,,False,2,test,2
133,0.0,106.54827,106.79848,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25021386,105,,,0,,False,0,train,1
134,0.0,106.79848,107.0487,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25021386,106,,,0,,False,0,train,2
135,0.0,107.0487,107.29891,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25021386,107,,,0,,False,0,train,1
136,0.0,107.29891,107.54912,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25021386,108,,,0,,False,0,train,1
