outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.758798717],-0.010052280038663246,0.00575244962879309,0.08055443171576745,-0.021326874133978505,0.0012223140566520133,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.759883607],0.10842391291532412,0.00489384181730724,9.300207640383388e-109,0.09883215920736588,0.11801566662328236,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.760345702],-0.0024837713725268263,0.004084717988592595,0.5431447980697293,-0.010489671517171204,0.005522128772117552,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.760693773],0.03656775312313478,0.0030537706888124545,4.826256848488721e-33,0.030582472556018297,0.04255303369025126,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.761418226],-0.03254156438450491,0.0035345374265955626,3.361821474826597e-20,-0.039469130442641095,-0.025613998326368723,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.762120172],0.024106774886803004,0.0048853691148343275,8.036300394878895e-07,0.014531627370543398,0.03368192240306261,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.762602078],-0.002937616762119275,0.00557306078108395,0.5981171163275312,-0.013860615176696478,0.00798538165245793,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.763673393],0.03459329819811795,0.004531669404489604,2.2815200434256765e-14,0.02571138937547625,0.043475207020759646,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.766640955],0.02807316217989496,0.00533645327185137,1.4355446682987438e-07,0.01761390596188534,0.038532418397904576,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.767871931],0.03861987413400658,0.004963626339077943,7.219483039429415e-15,0.028891345276699416,0.04834840299131375,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.768515987],0.03711744231085687,0.006313021412572685,4.114946390512973e-09,0.024744147708584227,0.04949073691312951,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.771160300],0.03372133923201957,0.004021041979224243,5.0202709357045076e-17,0.0258402417724164,0.041602436691622745,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.771990200],0.022166627243456964,0.003310958049776019,2.157771824166633e-11,0.015677268711572993,0.028655985775340936,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.773418906],0.07145099105608256,0.004519491188488863,2.6749266837520772e-56,0.06259295109819826,0.08030903101396686,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.774875821],0.05660623323261951,0.005599442715930964,5.026147233361904e-24,0.045631527175899675,0.06758093928933935,9819,54
