outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions,area
log10_f1_f0,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",-0.017981635203433412,0.010040757410384179,0.07331505440505798,-0.03766115810529006,0.001697887698423238,9819,54,AM
log10_f1_f0,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",0.0038656634820924555,0.01431673300299704,0.7871524311823742,-0.02419461758005772,0.03192594454424263,9819,54,LM
log10_f1_f0,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-0.06969224908365022,0.018813923890077015,0.00021198279379975376,-0.10656686231607888,-0.03281763585122156,9819,54,RL
log10_f1_f0,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-0.038988810850173784,0.01301558732025928,0.002739525753560922,-0.06449889323551816,-0.013478728464829403,9819,54,AL
log10_f1_f0,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",-0.0234958275090914,0.015205204761714705,0.12228604535309905,-0.05329748121960916,0.006305826201426355,9819,54,PM
log10_f1_f0,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",-0.03795930666427908,0.009492614122605866,6.365761167174654e-05,-0.05656448846372286,-0.019354124864835297,9819,54,AM
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.LM]",0.009673356643290679,0.013615830137244433,0.47742557623507575,-0.017013180045323473,0.03635989333190483,9819,54,LM
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-0.019645569312401426,0.020285609375397768,0.33282039443950884,-0.05940463309262911,0.02011349446782626,9819,54,RL
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-0.027864153782407745,0.010929162680380643,0.01078703344349508,-0.04928491901713305,-0.006443388547682442,9819,54,AL
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.PM]",-0.03984948995906621,0.015561764756138831,0.010445226455270719,-0.07034998841698306,-0.009348991501149366,9819,54,PM
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AM]",-0.021097747823284198,0.00885887840586844,0.017240552781642517,-0.03846083044220595,-0.0037346652043624487,9819,54,AM
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.LM]",-0.27005157943820635,1.185927909458736,0.8198691179831263,-2.594427570238207,2.0543244113617942,6821,54,LM
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.RL]",4.834156341864398,1.289280932710686,0.0001771888752208077,2.307212147797245,7.361100535931552,6821,54,RL
