stimulus_presentation_id,stimulus_block,start_time,stop_time,Speed,color,contrast,orientation,frame,coherence,phase,y_position,spatial_frequency,size,Dir,x_position,stimulus_name,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1780,0.0,520.48104,520.73123,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25019507,102,,,0,,False,8,test,0
1781,0.0,520.73123,520.98145,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25022243,147,,,0,,False,9,train,1
1782,0.0,520.98145,521.23168,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25022243,36,,,0,,False,7,train,0
1783,0.0,521.23168,521.4819,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25022243,116,,,0,,False,6,train,2
1784,0.0,521.4819,521.73212,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25022243,201,,,0,,False,3,train,2
1785,0.0,521.73212,521.98232,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25019757,143,,,0,,False,9,train,2
1786,0.0,521.98232,522.23252,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25019757,72,,,0,,False,7,train,1
1787,0.0,522.23252,522.48271,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25019757,202,,,0,,False,5,test,0
1788,0.0,522.48271,522.73291,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25019757,154,,,0,,False,9,train,2
1789,0.0,522.73291,522.98312,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25020743,177,,,0,,False,7,train,0
1790,0.0,522.98312,523.23333,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25020743,80,,,0,,False,6,train,0
1791,0.0,523.23333,523.48353,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25020743,3,,,0,,False,7,train,1
1792,0.0,523.48353,523.73374,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25020743,52,,,0,,False,7,train,2
1793,0.0,523.73374,523.98395,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25021257,48,,,0,,False,7,train,0
1794,0.0,523.98395,524.23417,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25021257,229,,,0,,False,10,train,2
1795,0.0,524.23417,524.48438,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25021257,73,,,0,,False,8,test,2
1796,0.0,524.48438,524.73459,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25021257,97,,,0,,False,8,test,1
1797,0.0,524.73459,524.98481,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25021993,112,,,0,,False,6,train,1
1798,0.0,524.98481,525.23503,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25021993,105,,,0,,False,9,train,1
1799,0.0,525.23503,525.48525,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25021993,85,,,0,,False,6,train,0
1800,0.0,525.48525,525.73547,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25021993,132,,,0,,False,3,train,2
1801,0.0,525.73547,525.98566,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25019257,19,,,0,,False,7,train,0
1802,0.0,525.98566,526.23586,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25019257,233,,,0,,False,7,train,2
1803,0.0,526.23586,526.48605,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25019257,201,,,0,,False,4,train,2
1804,0.0,526.48605,526.73624,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25019257,140,,,0,,False,7,train,2
1805,0.0,526.73624,526.98646,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25021993,218,,,0,,False,6,train,1
1806,0.0,526.98646,527.23668,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25021993,34,,,0,,False,10,train,2
